3149476
/m/08vlxd
/m/08vlxd
Per Wahlöö
1965
a 6
aboard 1
almost 1
american 1
an 1
and 4
ascertainedroseanna 1
boat 2
by 1
can 1
canal 1
case 1
cold 1
dead 1
determine 1
determines 1
fellow 1
found 1
her 2
identify 1
identity 1
if 1
in 2
instantly 1
interpol 1
investigation 1
is 3
killed 1
luck 1
mcgraw 1
meticulous 1
molested 1
murdered 2
nobody 1
of 1
passenger 1
proceeds 1
responsible 1
she 2
southern 1
stroke 1
sweden 1
taking 1
that 1
the 2
then 1
through 1
to 1
tourist 1
trip 1
was 4
where 1
who 1
whom 1
woman 1
young 1
