2433340
/m/07cq8h
/m/07cq8h
Stephen Fry
1991-09
{"/m/016lj8": "Roman \u00e0 clef", "/m/05hgj": "Novel", "/m/02xlf": "Fiction"}
a 27
about 1
acclaimed 1
accompanied 1
acquire 1
actuality 1
actually 1
adjective 1
adrian 29
adventure 1
after 1
agent 1
aid 2
alcoholic 1
also 1
an 4
and 25
another 1
are 3
arrest 1
arrested 1
article 1
as 13
asleep 1
at 7
attains 1
attendees 1
attracted 1
awake 1
bbc 1
be 3
beautiful 1
become 1
becoming 1
before 1
behaviours 1
believes 1
between 2
birthplace 1
book 3
boredom 1
boy 2
boys 2
brings 1
but 3
by 5
cambridge 2
carefully 1
cartwright 2
castor 1
catalyst 1
challenge 1
characters 1
charles 1
checks 1
child 1
claims 2
code 1
college 2
consequently 1
considered 1
contact 1
continental 1
conversation 2
convey 1
corrects 1
cottaging 1
could 1
counter 1
countries 1
crew 1
cricket 1
custom 1
david 6
de 1
dealt 1
deceptive 1
defeating 1
despite 2
device 1
dialogue 1
dickens 1
dickon 1
did 1
discovered 1
discovery 1
discuss 1
discussing 1
discussion 1
document 1
does 1
donald 3
double 1
due 1
duplicity 1
during 2
education 1
encounter 1
ends 1
english 1
enters 1
erudite 1
escaped 1
espionage 5
exchange 1
expelled 1
express 1
extroverted 1
fact 2
fame 1
farcically 1
fellow 1
fictional 2
film 1
finds 1
finish 1
first 1
footage 1
for 6
forced 1
fricative 1
friend 1
friendly 1
from 3
funeral 2
game 6
garry 1
gay 1
gets 1
girlfriend 1
girls 1
given 1
giving 1
gloucestershire 1
gradually 1
graduation 1
greek 1
grew 1
groomed 1
had 2
hangs 1
harrow 2
has 3
hates 1
have 3
he 9
helen 1
hidden 1
highly 1
him 2
himself 3
his 19
home 1
homosexual 1
housemate 1
however 2
hugo 7
hungarian 1
hungary 1
illium 1
image 2
in 22
incident 1
inhibiting 1
intelligent 1
into 1
introduced 1
irrelevant 1
irreverent 1
is 22
istvan 1
it 6
jenny 3
joins 1
just 3
kisses 1
known 1
later 5
latin 1
leave 2
letter 1
levels 1
lie 1
lister 1
longer 1
lost 1
love 1
loves 1
lying 1
making 1
man 1
manuscript 1
master 2
matthew 1
meaning 1
meeting 2
mendax 4
mentor 2
mi5 2
mixed 1
moltaj 1
mozart 1
murder 1
murders 2
name 1
names 1
narrative 5
nephews 2
never 1
new 2
no 1
nominally 1
not 3
note 1
novel 1
now 1
occurred 1
odyssea 1
odysseus 2
of 24
on 3
one 2
onlooking 1
opens 1
ordered 1
original 1
other 2
outlines 1
overheard 1
overhears 1
parts 3
patrochlus 1
paul 1
pearce 2
period 2
pigs 1
pollux 1
portrayed 1
positively 1
preceded 1
pretending 1
previously 1
pride 1
prior 1
produce 1
producer 1
professor 3
proof 1
public 3
recruiting 1
refer 1
regarding 1
rent 1
report 1
resolves 1
result 2
results 2
revealed 4
reveals 1
role 1
sabbatical 1
sabotaging 1
salzburg 3
scare 1
school 7
schools 1
seduces 1
set 1
several 3
sex 3
sexual 1
shift 1
showdown 1
shown 1
sic 1
sir 1
so 1
something 1
son 1
speaks 1
spent 2
spy 2
st 1
staged 2
state 1
stated 1
story 1
student 1
studying 1
subject 1
subsequently 2
such 2
suicide 1
szab 2
team 3
telemachus 1
that 10
the 48
their 2
them 1
then 1
they 2
things 1
this 1
three 1
to 20
touchy 1
trade 1
tradition 1
trefusis 12
trips 1
trojan 1
trotter 3
trottersic 1
true 1
tutor 1
two 3
unable 1
uncle 3
unhappiness 1
university 2
up 2
victorious 1
walls 1
war 1
was 6
were 2
where 5
which 5
while 3
who 3
whom 1
wife 1
with 7
witnessed 1
witnesses 1
witty 1
woman 1
woolf 1
working 1
would 1
writes 1
writing 1
written 1
years 4
young 3
