24236729
/m/07kch4p
/m/07kch4p
Lauren Groff


118 1
a 19
abelard 1
affection 1
against 1
aliette 1
always 1
american 3
amidst 1
an 2
and 9
anthology 1
are 1
argentina 1
attorney 1
back 1
between 1
birds 1
blythe 1
bored 1
bound 1
but 2
by 1
causing 1
century 1
changes 1
character 1
chow 1
class 1
close 1
college 1
comprises 1
cooperstown 1
correspondents 1
crafty 1
debard 1
deep 1
delicate 1
dictator 2
disparate 1
dont 1
dramatic 1
draws 1
during 1
each 1
eccentric 1
edible 1
end 1
events 2
evil 1
exacts 1
exchange 1
extroverted 1
fall 1
falls 1
farm 1
farmer 1
fate 1
father 1
fear 1
first 1
fleeting 1
flu 1
for 4
france 1
french 2
fun 1
future 1
girl 3
grandfather 1
group 1
growth 1
has 1
held 1
her 8
hershey 1
his 1
hlose 1
hold 1
honeymoon 1
hopes 1
husband 1
in 8
inexorably 1
into 2
introverted 1
is 8
l 1
later 1
latin 1
leave 1
life 2
lifelong 1
little 3
lollie 1
looking 1
lucky 1
lust 1
majorette 1
make 1
marries 1
maxim 1
meets 1
midwestern 1
mom 1
more 1
mythical 1
nazis 1
new 2
night 1
nine 1
not 1
novel 1
of 13
on 1
oncesafe 1
out 1
over 1
pandemic 1
pennsylvania 1
personal 1
philadelphia 1
place 2
playboy 1
price 1
proves 1
regret 1
retelling 1
revealed 1
safety 1
say 1
setting 1
seventeenyearold 1
she 1
simple 1
sinister 1
sir 1
sister 1
slice 1
spanning 1
stayathome 1
steep 1
stories 1
story 5
study 1
taken 1
takes 3
tale 1
templeton 1
that 2
the 15
their 2
them 1
things 1
this 1
to 3
together 1
town 1
tragedy 1
turned 1
turning 1
up 2
various 1
war 1
watershed 1
when 1
where 1
which 1
who 4
whose 1
wife 2
will 1
with 1
without 1
woman 2
women 1
worldy 1
york 2
youll 1
young 1
