18695356
/m/04gnvnq
/m/04gnvnq
Harry Turtledove
2005-12-27
21st 2
a 1
also 1
an 1
and 4
annette 1
as 3
between 1
book 2
captured 1
century 2
christians 1
concentrate 1
crosstime 1
daughter 1
eighteen 1
eyes 1
first 1
focuses 1
from 1
in 2
into 1
is 2
it 1
late 2
masters 1
medieval 1
merchant 1
more 1
muslim 1
muslims 1
of 3
old 1
on 1
organization 1
origins 1
poses 1
relations 1
series 1
slavery 1
slaves 1
society 1
sold 1
the 10
through 1
time 1
to 1
traffic 1
traveller 1
upon 1
well 1
who 2
year 1
