22272970
/m/05q6w9v
/m/05q6w9v
Evan Hunter
1958
{"/m/0lsxr": "Crime Fiction"}
137style 1
158 1
a 6
and 3
been 2
blackmailer 1
but 1
carella 1
cotton 1
could 2
dead 1
driveby 1
edward 1
execution 1
find 1
have 3
hawes 1
him 1
hunting 1
in 1
included 1
is 2
it 4
killed 1
kramer 1
lady 1
lucy 1
manufacturer 1
members 1
mencken 1
of 3
one 1
or 2
out 1
party 1
past 1
perhaps 1
photographic 1
pop 1
portraits 1
respectable 1
rich 1
schlesser 1
shot 1
soda 1
some 1
steve 1
sy 1
that 2
the 1
to 1
unrespectable 1
very 2
was 1
went 1
who 1
with 1
wrong 1
