5047951
/m/0d0fkk
/m/0d0fkk
Clarice Lispector

a 6
alarm 1
alive 1
already 1
always 1
an 2
and 6
anger 1
animal 1
anonymous 1
appalled 1
as 1
asks 1
asylum 1
at 3
away 3
be 1
been 1
before 1
begin 1
begins 1
being 3
black 2
book 1
break 1
but 2
by 4
calling 1
carbon 1
center 1
chaos 1
clean 2
cockroach 2
cockroachthe 1
crisis 1
dangerous 1
day 1
de 1
decided 1
depart 1
desert 1
disturbs 1
dog 1
door 2
down 1
drag 2
dragged 1
drawing 1
dry 1
dying 1
emerging 1
entered 1
entirely 1
entrails 1
exceptional 1
expects 1
face 1
famously 1
fascination 1
finally 1
finds 1
forgotten 1
from 2
fundamental 1
gh 4
had 2
happened 1
hard 1
has 3
hated 1
have 1
height 1
her 7
human 1
i 5
if 1
in 5
insane 1
inscrutable 1
insect 2
instead 1
irresistible 1
is 5
it 2
its 1
janeiro 1
just 1
knew 1
knows 1
late 1
left 1
maid 2
maids 1
man 1
matter 2
me 2
mind 1
mouth 1
myself 1
mystic 1
name 1
objects 1
of 6
on 1
one 1
only 1
ooze 1
oozing 1
opens 2
order 1
others 1
out 2
outlines 1
overwhelmed 1
penthouse 1
perfect 1
personality 1
pondering 1
possible 1
previous 1
puts 1
raised 1
realizes 1
remembering 1
removed 1
resident 1
rio 1
roachand 1
room 6
scratches 1
scream 1
screaming 1
seen 1
sees 2
service 1
severing 1
shares 1
she 13
shock 1
shut 1
sight 1
since 1
slams 1
staring 1
stillliving 1
takes 1
terrified 1
that 2
the 31
they 2
thing 1
those 1
to 8
too 1
trapped 1
trouble 1
universe 1
vibrating 1
voiceless 1
wall 1
wants 1
wardrobe 1
was 3
way 1
welltodo 1
what 3
when 2
which 2
white 1
who 2
whose 2
with 1
woman 1
world 1
would 1
