3189922
/m/08y3ld
/m/08y3ld
Ann Rinaldi
2000
{"/m/0dwly": "Children's literature", "/m/02p0szs": "Historical fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 7
after 2
an 3
and 4
are 2
armed 1
as 1
at 2
based 1
be 1
befriends 1
both 1
build 2
building 1
built 1
cant 1
carpenter 2
catholicism 1
center 1
chapel 1
choir 1
circular 1
classmates 1
complete 1
comprehend 1
convent 2
crazy 1
decides 1
dedication 1
died 1
disappears 1
doesnt 1
dumps 1
ender 1
faith 1
father 2
fe 3
finish 1
for 3
furious 1
have 1
he 1
help 1
her 4
his 1
in 3
is 2
jose 2
joseph 2
lacking 1
leave 1
legend 1
lizzy 3
loft 1
loretto 1
made 1
manthought 1
matter 1
methodist 1
miracle 2
mother 1
nails 1
named 1
nuns 1
occur 1
occurring 1
of 2
on 2
outcast 1
pray 1
proceeds 1
real 1
revolutions 1
saint 2
santa 3
school 1
search 1
she 2
simple 1
staircase 6
story 1
suggests 1
support 1
the 13
their 1
they 1
thinks 1
this 1
three 1
to 8
tools 1
trail 1
two 1
unemployed 1
unnamed 1
waiting 1
weeks 1
were 1
where 1
which 1
who 2
with 1
