1905676
/m/065606
/m/065606
Martin Amis
1989
1 1
34 1
34plot34 1
35th 1
5 1
a 16
after 2
against 1
aging 1
airport 1
already 2
also 1
always 1
american 2
amis 1
an 3
and 16
antiheroine 1
any 1
appear 1
arrived 1
as 3
aspiring 1
asprey 1
assumes 1
at 4
attending 1
avoid 1
backdrop 1
bad 1
banker 1
basis 1
be 4
beaten 1
before 1
being 1
believes 1
belongs 1
better 1
bin 1
birthday 1
black 2
block 1
bored 2
both 1
briefly 1
but 2
by 2
can 3
cant 2
car 1
career 1
characters 1
cheat 1
clinch 2
confuse 1
considers 1
converse 1
couldnt 1
courage 1
create 1
creating 1
criminal 2
crisis 1
cross 2
darts 3
day 2
decadeslong 1
degradation 1
destroyed 1
diaries 2
die 1
disease 1
do 1
document 1
doing 1
dont 2
down 2
dramatic 1
dramatically 1
dreams 1
driver 1
dumping 1
dying 1
ending 1
english 1
entered 1
enters 1
environmental 1
even 1
explaining 1
extortionately 1
failed 1
fall 1
false 1
fearing 1
features 1
few 1
fiction 1
fields 1
final 1
finale 1
flat 1
foal 1
foil 1
fool 1
for 1
formed 1
found 1
funds 1
funeral 1
further 1
future 1
gift 1
girl 1
gives 1
good 1
grateful 1
gratitude 1
guy 4
had 1
hangout 1
happened 1
happening 1
happens 1
has 1
hasnt 1
have 3
he 8
heathrow 1
help 1
her 6
hers 1
him 1
hints 1
his 3
hobby 1
hope 1
how 1
i 10
if 2
imagination 1
immediately 1
in 7
incidentally 1
instability 1
interviews 1
into 3
invites 1
is 12
it 8
just 1
keith 6
keith3s 2
kill 1
know 7
known 1
lacks 1
later 1
life 2
litter 1
loan 1
local 1
london 3
looming 1
lucrative 1
main 1
mark 1
marmaduke 1
masters 1
means 1
meet 1
meets 2
midnight 1
minicab 1
moral 1
motive 2
murder 4
murderee 1
murderer 2
my 1
narrator 1
nationality 1
necessary 1
nicola 5
nonfiction 1
novel 3
novelists 1
november 1
nuclear 1
of 10
old 1
on 4
once 2
one 1
opens 1
out 1
outofcontrol 1
outside 1
own 2
page 1
people 2
place 1
planned 1
plausible 1
player 1
plotting 1
poor 1
portobello 1
posing 1
pretty 1
priced 1
proceeds 1
process 1
professional 1
progress 1
provide 1
provoke 1
pub 2
reader 1
real 1
realises 1
recently 1
redeeming 1
referred 1
regularly 1
relationship 1
resident 1
rich 1
ride 1
road 1
saleable 1
sam 8
same 1
samson 3
see 1
sees 1
set 1
sharks 1
she 2
shortly 1
simply 2
six 2
slowly 1
smalltime 1
snobbish 1
so 2
social 1
some 1
somehow 1
something 2
sort 1
sparrow 1
stained 1
start 2
staying 1
stop 3
story 3
strange 1
successful 1
talent 3
tears 1
tell 1
terminal 1
terrifying 1
terrifyingly 1
that 5
the 43
them 1
there 1
they 4
think 1
this 3
threat 1
time 1
to 14
toddler 1
towards 1
town 1
turn 1
twist 1
two 2
uncertain 1
unexpected 1
unified 1
unreliable 1
up 1
updated 1
upperclass 1
usually 1
utterly 1
waiting 1
wanted 2
war 1
what 3
when 1
where 3
who 4
wife 1
wildly 1
will 5
with 7
world 1
write 2
writer 3
written 1
year 1
yet 1
you 2
young 1
young3s 1
