2631112
/m/07s_d6
/m/07s_d6
Aaron Allston

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 11
abilities 1
ackbar 3
actor 1
admiral 2
ambush 1
an 3
and 5
antari 1
antics 1
antilles 2
any 1
are 1
as 5
back 1
bacta 1
be 2
being 1
blockade 1
breadth 1
build 1
caller 1
childrecruitment 1
chronic 1
code 1
combatants 1
comes 1
commandmdashthe 1
communications 1
compiled 1
consisted 1
cost 1
crew 1
decides 1
demolitions 1
doctor 1
donos 1
ekwesh 1
elite 1
else 1
employ 1
eurrsk 1
expert 4
expertise 1
face 1
falynn 1
fighter 2
fighting 1
focuses 1
force 1
forced 1
former 3
fresh 1
from 4
gamorrean 1
garik 1
goes 1
grinder 1
ground 2
hair 1
he 1
hell 1
help 1
his 1
hohass 1
idea 1
imperial 3
insolence 1
it 1
janson 2
jesmin 1
kell 1
kicked 1
kill 1
known 1
loran 1
make 1
mechanical 1
minor 1
multiple 1
myn 1
new 3
niece 1
night 1
no 1
novel 1
of 8
on 2
one 1
out 1
part 1
personalities 1
phanan 1
piggy 1
pilot 3
piloting 1
pilots 3
pitching 1
prankster 1
proposes 1
ranger 1
rebel 1
republic 1
rogue 1
runner 1
runt 1
sabinring 1
sandskimmer 1
sarkin 1
screwups 1
scrounges 1
secondary 2
skills 1
slicer 1
sole 1
son 1
specialist 1
squadron 6
squadroncommando 1
surviving 1
tainer 1
take 1
talon 1
tatooine 1
team 2
thakwaash 1
that 3
the 10
this 1
thriag 1
thyferra 1
to 8
ton 1
tyria 1
under 1
undercover 1
up 1
use 1
vehicle 1
voort 1
war 1
warlord 1
was 3
washouts 1
way 1
wedge 1
wes 1
while 1
whilst 1
who 1
will 1
with 6
without 1
wraith 2
zsinj 1
