398809
/m/023lp2
/m/023lp2
Jerry Pournelle

1000 1
a 9
able 1
abnormalities 1
about 2
accessible 1
after 1
against 1
aid 1
alarming 1
alderson 3
alliances 1
allowing 1
along 1
among 1
an 2
and 16
any 1
appear 1
appears 1
are 2
armed 1
arrivaland 1
as 3
assembled 1
at 3
be 3
between 2
blaine 1
blockade 3
blockading 1
bottled 1
bury 8
but 1
by 3
caledonia 1
can 2
capital 1
carrying 1
children 1
choose 1
civilization 2
closest 1
coalsack 1
collapse 1
combat 1
commission 1
concentrate 1
confirm 1
convoluted 1
created 1
decides 1
deepseated 1
deliberately 1
depart 1
diplomacy 1
discover 1
dispatched 1
disturbing 1
do 1
down 1
dredged 1
driven 1
economic 1
empire 4
encounter 1
end 2
engineering 1
enlisted 1
enough 1
entering 1
equal 1
estimate 2
eternal 1
evidence 1
excessive 1
exit 1
expand 1
expanding 1
expedition 3
exploit 1
expression 1
extensively 1
eye 2
factions 1
fail 1
falsified 1
fear 1
field 1
fight 1
first 1
fleet 1
for 4
forming 1
from 3
galaxy 1
genetic 2
god 1
governor 1
gripping 3
had 2
half 1
hand 3
hastily 1
have 1
hitherto 1
home 1
human 3
humanity 1
humans 1
idiom 1
ignite 2
ignored 1
imperial 5
impressive 1
in 7
incident 1
influential 1
innocuous 1
insist 1
inspect 1
inss 1
intelligence 1
interest 1
interstellar 1
into 2
investigating 2
is 6
it 3
knowledge 1
lady 1
langston 1
led 1
lord 1
macarthur 2
making 1
many 2
maxroy 1
may 1
mdash 2
mean 1
memories 1
mentioned 1
modification 1
moment 1
mormon 1
mote 6
motie 1
moties 9
much 1
murcheson 1
must 2
naval 1
navy 1
nebula 1
new 4
newborn 1
next 1
nightmares 1
not 1
object 1
obtain 1
of 16
on 6
only 1
onto 1
option 1
options 1
or 1
out 1
passengers 1
peacefully 1
permission 1
photosphere 1
phrase 2
picked 1
piece 1
planet 2
point 4
positioned 1
practical 1
predicted 1
present 1
previously 1
prime 1
protostar 1
purchase 1
rate 1
red 1
renner 6
reproduction 1
revolutions 1
safe 1
safety 1
save 1
second 3
secret 1
secretly 1
sent 1
ship 1
ships 2
sinbad 2
since 1
slow 1
small 1
so 3
soon 2
source 1
space 2
spacer 1
sparta 1
spend 1
spreading 1
stabilize 1
star 3
staying 1
story 1
stronger 1
studied 1
stumbled 1
supergiant 1
system 4
tale 1
that 11
the 63
their 5
them 1
there 1
they 4
third 1
through 1
to 14
told 1
too 1
trade 1
travel 2
turns 1
twentyfive 1
two 1
unpleasant 1
up 2
use 1
war 1
was 3
way 1
well 1
where 1
while 2
widespread 2
with 2
would 4
years 2
