750322
/m/038552
/m/038552
Nathaniel Hawthorne
1828
20 1
a 13
able 1
about 1
above 1
according 1
affairs 1
affections 1
aged 1
aim 1
allows 1
also 1
ambivalent 1
an 5
and 17
angler 10
anglers 3
another 1
apparently 1
appearing 1
are 1
arrives 1
as 1
asks 1
at 4
attentions 1
attracts 1
awakens 1
back 1
be 2
beautiful 1
because 2
become 1
becomes 1
been 3
begins 1
behind 1
book 1
boys 1
but 3
butler 1
by 1
cabin 1
called 1
captive 1
care 1
caretaker 1
cave 1
chamber 1
character 1
childish 1
children 1
cliff 3
climb 1
college 2
considerable 1
constitution 1
contend 1
content 1
couple 1
craggy 1
crombie 1
daughter 1
death 2
did 1
die 1
died 1
dies 1
dr 1
drunkenness 1
each 1
edge 1
edward 2
ellen 13
ellens 1
ends 1
enlists 1
especially 1
exchange 1
expert 1
faint 1
falling 1
fanshawe 10
fathers 3
fight 2
finally 1
first 1
fisherman 1
flusters 1
follow 1
for 5
four 1
friend 2
from 1
gets 1
girl 1
given 1
go 1
grabs 1
grows 1
had 3
hand 1
happiness 1
happy 1
harley 1
has 6
he 7
help 1
her 15
him 4
his 11
hold 1
home 1
horse 1
however 1
hugh 1
immature 1
impulsiveness 1
in 8
information 2
inherit 1
inn 1
instructs 1
intellectual 1
intends 1
intentions 2
into 2
is 7
just 1
kidnap 1
killed 1
knows 2
labor 1
lags 1
langton 6
later 1
learn 2
life 1
lifestyle 1
likely 1
looking 1
loves 1
manipulate 1
marriage 1
marry 2
marrying 1
meek 1
meet 1
meeting 1
melmoth 3
melmoths 1
men 1
mentor 1
most 2
mother 1
mr 2
name 1
nameless 1
narrator 2
nature 1
not 3
note 1
of 15
offers 1
old 3
on 1
order 1
out 5
over 1
owner 1
people 1
physical 1
president 1
produce 1
reach 1
real 1
realized 1
reclusive 1
reformed 1
refuses 1
rescuing 1
reveals 1
rider 1
sacrificing 1
scholar 1
sea 3
search 2
searching 1
secret 2
she 1
shutin 1
skilled 1
slow 1
sneak 1
so 1
something 1
stands 1
states 1
stating 1
strapping 1
student 1
subject 1
suggestion 1
support 1
suspicious 1
taken 1
takes 1
teenage 1
tell 1
telling 1
tells 1
that 8
the 35
them 1
they 3
thinking 1
though 2
three 1
thus 1
to 22
together 2
too 1
town 1
travel 1
tumbles 1
turns 1
twig 1
two 1
undertakes 1
unused 1
up 1
various 1
walcott 6
walking 1
ways 1
we 1
weak 2
wealth 1
when 3
where 3
whereabouts 1
while 1
who 4
widow 1
widowhood 1
will 1
with 4
woman 2
word 1
years 1
young 3
