2272664
/m/06_wyt
/m/06_wyt
Jacqueline Carey
2003
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/05hgj": "Novel"}
a 29
abducted 2
about 3
access 1
across 1
act 2
acting 1
acts 1
after 4
again 2
against 2
agoa 1
agree 2
agrees 2
aid 1
akamagi 3
alba 2
all 6
allies 1
allowing 1
alone 2
along 1
also 4
although 1
an 8
and 78
angra 1
anguissette 2
any 3
appears 1
aragonia 1
are 5
ark 1
arm 1
around 1
as 19
asheratofthesea 1
ask 2
asks 3
assassination 1
at 5
attack 2
attempt 1
away 2
back 6
badly 1
barely 1
be 7
beauty 1
because 3
become 1
becomes 1
bedchamber 1
been 6
before 2
beg 1
begets 1
begins 1
being 1
believing 1
belt 1
betrayed 1
better 1
between 2
beyond 1
bite 1
blesses 1
blow 1
boat 1
body 1
bonepriests 1
boon 1
born 1
both 2
bought 1
boy 1
boys 1
bright 1
brings 1
bronze 1
burden 1
but 8
by 8
called 2
calls 1
came 2
camels 1
camp 1
can 7
capital 1
caresses 1
caught 1
ceremony 1
chagrin 1
channels 1
charges 1
chase 1
child 1
children 1
choose 1
chosen 1
city 3
cleanly 1
come 3
comes 1
commit 1
commits 1
companions 2
completely 1
comtesse 1
conqueror 1
contacted 1
contains 3
control 1
cost 1
couple 1
courcel 2
covenant 1
cruarch 1
cruelly 1
curiosity 1
curse 2
custody 1
daggers 1
dan 4
dange 5
dangeline 2
dangerous 2
daranga 2
darkened 1
darkest 1
darkness 1
daughters 2
days 2
de 2
dead 3
deal 1
death 4
debate 1
debeho 1
decide 1
decides 2
decision 1
delaunay 1
denied 1
deny 1
depart 1
depravity 1
depressed 1
depths 1
desert 1
desire 2
desires 1
despite 1
destruction 1
develops 1
did 2
different 1
disagree 1
disgust 1
disgusted 1
do 2
doors 1
doubt 1
down 1
drink 1
drinks 1
drugged 1
drujan 7
drustan 3
during 3
each 2
eat 1
eating 1
elders 1
elua 6
emotional 1
empire 1
empty 1
enjoying 1
enormous 1
enough 1
enter 2
erase 1
escape 2
eunuchs 1
eventually 5
everyone 1
everywhere 1
evil 1
exacted 1
extensive 1
eyes 1
face 2
father 1
fatigue 1
favour 2
feels 5
festivities 1
fighters 1
fighting 1
filled 1
final 1
finally 2
find 5
finds 2
finger 1
fish 1
flee 1
flooded 1
following 2
for 14
forbids 1
forced 1
forgets 1
form 1
former 2
foster 1
four 1
fragile 1
free 3
frees 1
frequent 1
friendly 1
frightening 1
from 13
full 1
furious 1
gains 1
generally 1
get 1
giant 1
gifts 3
give 4
given 3
go 1
god 11
gone 1
good 1
great 2
group 1
grown 2
guards 3
guests 2
guise 1
had 4
hair 1
hall 2
hand 1
harem 1
has 9
hates 1
have 3
having 4
he 19
head 1
headed 1
heals 1
hears 1
heart 3
help 3
helps 1
her 36
here 1
herself 1
hidden 2
high 1
him 10
his 14
hold 1
home 1
house 1
household 1
however 4
husband 1
huts 1
hyacinthe 6
i 1
identity 1
if 2
immediately 1
imriel 24
in 32
increasing 1
information 1
injured 1
insists 1
instant 1
instantly 1
instead 1
investigations 1
is 29
iskandria 2
island 3
isolated 1
it 6
its 1
itself 1
jebebarkal 3
joscelin 15
journey 3
journeys 1
kaneka 1
kapporeth 1
kept 1
khalif 1
khebbelimakkad 4
kill 1
killed 1
killing 2
kinder 1
king 1
kingdom 2
know 1
knowing 2
knowledge 1
known 1
knows 3
kushiel 2
la 2
land 1
last 2
later 3
leader 1
leadership 1
leading 1
leads 1
learn 2
learns 5
leave 2
leaves 1
leaving 1
lenvers 1
let 1
life 1
light 1
like 1
limits 1
line 1
lips 1
list 1
live 1
living 1
location 1
long 1
lose 1
lost 4
love 9
lovemaking 1
lover 2
loyal 1
mab 2
mad 1
mahrkagir 7
mainyu 1
majibara 1
make 3
male 1
many 3
married 1
mass 1
massive 1
master 1
may 1
meet 1
melisande 10
menekhet 4
mental 1
mero 2
message 1
messenger 1
mind 1
missing 2
months 1
montrve 1
more 3
mote 1
mother 2
move 1
much 1
must 4
n 1
nahar 2
name 10
nature 1
near 1
nearly 1
necthana 2
need 1
neighbour 1
never 4
new 3
night 2
nineveh 1
no 1
noblewoman 1
not 8
now 2
occupier 1
of 63
offered 1
often 1
on 11
once 2
one 4
only 1
onward 1
open 1
opium 1
or 2
ordeal 1
other 3
out 1
outfit 1
over 1
own 3
pain 1
parents 5
party 1
passage 1
pays 1
people 3
perhaps 1
person 1
phdre 34
physical 1
piece 1
pin 1
plots 1
pool 1
power 2
powerful 1
powers 3
presence 3
presents 1
pretend 1
prince 6
prize 1
promise 2
promises 1
punished 1
punishment 1
