502720
/m/02j2ff
/m/02j2ff
Alistair MacLean
1963
50 2
a 31
abandoned 1
able 1
aboard 2
accident 3
accompany 1
actually 1
admiral 5
after 4
again 1
agents 3
ago 1
air 1
alive 1
all 2
allowed 1
allows 1
almost 1
along 1
already 1
also 1
american 2
amongst 1
an 8
and 27
ankle 1
announces 1
another 1
antarctic 1
apparent 1
approaches 1
arctic 4
are 9
around 1
as 8
asking 1
asks 2
at 6
attempt 1
attempts 1
attend 1
awaits 1
away 1
back 1
barely 1
batteries 1
be 2
bearing 2
become 1
becoming 1
been 4
before 2
being 2
blow 1
blowing 1
boss 1
break 2
breaking 1
breaks 2
british 1
brother 3
brought 1
built 1
burnt 1
but 8
by 3
cabin 1
calculated 1
calls 1
can 2
captain 5
carpenter 28
carried 1
catastrophic 2
chief 1
citizen 1
civilian 1
claimed 1
claims 1
closer 1
closing 1
cno 1
coma 1
come 1
command 1
commander 2
conditions 1
confidence 1
confides 1
contact 3
corona 1
countermand 1
cover 1
crew 3
crewman 1
crewmen 2
crisp 1
damaged 1
dead 2
dealing 1
decides 1
declines 1
dedication 1
deepcold 1
departs 1
desperate 1
destroyed 2
devastation 1
die 1
died 1
dinner 1
dispatched 1
dive 1
dives 1
doctor 1
does 3
dolphin 13
door 1
doors 1
down 1
dr 5
drift 1
eight 2
ejected 1
eleven 1
emerges 1
engine 1
enough 1
equipment 1
establishes 1
even 1
eventually 1
every 2
except 1
executive 1
expert 1
fall 1
far 1
fashioned 1
feet 1
fictional 1
film 3
finally 4
finding 1
findings 1
finds 3
fire 5
fired 1
first 1
five 1
floe 1
food 2
foot 2
for 6
forced 2
found 2
freezing 1
from 10
frostbite 1
frozen 1
further 1
gallows 1
garvie 5
get 1
gets 1
getting 1
gives 1
go 1
gun 1
had 5
hands 1
hansen 3
harrowing 1
has 4
have 3
he 9
heads 2
hearing 1
heat 1
heating 1
help 1
heroic 1
herself 1
hidden 1
hide 1
highlyequipped 1
him 3
himself 1
his 5
hole 1
holed 1
hoping 1
hour 1
hours 2
hundred 1
hurt 1
hut 2
huts 1
ice 12
if 1
ill 1
in 17
incidents 1
indicated 1
indicators 1
ingenuity 1
inner 1
installation 1
instructing 1
instructions 1
into 3
investigating 2
is 23
it 10
its 1
journey 1
just 4
keep 1
keeping 1
killed 1
killing 1
knocked 1
knows 1
landed 1
launches 1
leave 1
length 1
lets 1
lied 1
listening 2
little 1
load 1
loaded 1
look 2
looks 1
lost 1
make 2
many 1
mdash 1
meant 1
meanwhile 1
measures 1
medical 1
meet 1
men 6
message 1
meteorological 1
methods 1
mi6 1
miles 1
missile 1
mission 3
more 2
morgue 1
motives 1
murdered 1
mysterious 2
narrator 1
naval 1
navy 1
near 1
nearer 1
nearly 2
necessary 1
news 1
no 3
non 1
not 3
now 1
nuclear 3
nuclearpowered 1
obey 1
of 19
officer 3
oil 2
old 1
on 8
once 2
one 4
only 3
open 1
openclose 1
operations 1
or 1
order 1
other 2
out 1
outer 1
own 1
pack 3
perilous 1
petrol 2
photographed 1
photographic 1
place 2
point 1
position 2
post 1
power 1
powerful 1
purification 1
purpose 1
question 1
questions 1
quickly 1
radio 5
reach 3
reactor 1
real 1
receives 2
reconnaissance 1
refuse 1
relatively 1
rescue 2
resubmerges 1
retrieve 2
return 2
reveal 1
reveals 3
room 1
rushes 1
russian 2
safety 1
sail 1
satellite 2
save 1
saves 1
saying 1
says 1
sea 1
search 1
searches 1
see 1
sending 1
sent 1
set 1
several 1
severely 1
shelter 1
ship 2
should 1
shut 1
sick 1
signals 1
simply 1
small 1
so 2
some 3
someone 1
sophisticated 1
soviet 1
stake 1
station 5
status 1
still 2
storm 2
sub 3
submarine 4
submerges 1
successfully 1
suffered 1
supplies 3
surface 1
surfaces 1
survivors 4
suspicious 1
swanson 10
taking 1
tampered 1
tank 1
telling 1
tended 1
tense 1
tenuous 1
terrible 1
than 1
that 12
the 78
their 3
them 5
then 4
there 1
they 3
thick 1
thin 2
this 2
though 1
three 2
through 4
thus 1
to 35
tomb 1
too 3
torpedo 3
torrent 1
trace 1
tractor 1
transport 1
trapped 1
traveling 1
treated 1
trek 1
tries 1
tube 2
tubes 1
two 3
unable 1
unbeknownst 1
under 3
union 1
unsabotaged 1
up 1
us 3
used 1
uss 2
vain 1
very 1
victims 1
was 7
watch 1
water 2
way 2
weaker 1
weapons 1
well 1
were 1
when 1
where 3
whereas 1
which 1
while 1
who 1
whom 1
whose 1
why 2
widespread 1
will 1
wiring 1
with 7
without 2
would 1
zabrinski 3
zebra 14
