27712654
/m/0cnz32j
/m/0cnz32j
Edith Pargeter
1984
{"/m/02n4kr": "Mystery"}
1141 1
8 1
a 31
abbey 7
abbot 4
abbott 4
aberdaron 1
accept 1
accepts 1
accompanies 1
action 1
actions 1
actual 1
adam 1
adopted 1
after 4
again 1
agrees 1
aid 3
alice 2
alley 1
allies 1
allows 1
alone 2
along 1
altar 4
always 1
am 1
ambushed 1
an 3
anarchy 1
and 33
anew 1
anniversary 1
anointed 1
any 2
anyone 1
appear 1
appears 1
appoints 1
approaches 2
approval 1
april 1
are 2
army 1
around 2
arrival 1
arrive 1
arrived 2
arriving 2
as 9
asking 1
asks 2
at 11
atmosphere 1
attacker 1
attackers 2
attempt 1
attraction 1
aunt 2
aurifaber 1
away 6
back 3
banished 1
barefoot 2
be 4
beautiful 1
beech 1
been 1
before 3
begins 1
behind 2
being 1
believing 1
bellowing 1
beringar 5
between 1
bishop 8
bones 1
book 1
bossard 4
both 2
bought 1
boy 1
brawl 1
bretagne 1
bring 1
bristol 1
bromfield 1
brother 4
brought 1
burden 1
but 6
by 8
cadfael 19
called 2
can 2
caring 1
carry 1
casket 2
catch 1
caught 1
caused 1
celebrate 1
change 1
chapel 1
children 1
christmas 1
church 3
ciaran 20
civil 2
claimed 1
clearing 1
clerics 1
climbs 1
close 2
clubfoot 1
comes 1
companions 1
complete 1
completely 1
condone 1
conference 1
confession 1
congregation 1
contemptuously 1
continued 1
coronation 1
could 3
council 3
court 1
crime 1
crippled 1
crooked 1
cross 4
crucial 1
crutches 2
cry 1
dagger 2
dame 1
daniel 1
danish 1
darkeyed 1
darkhaired 1
darkness 1
dawn 1
day 3
daze 1
de 1
deal 1
death 1
decision 1
deeply 1
defect 1
description 1
dice 1
die 1
died 1
disease 1
displeased 1
dispute 1
do 1
doctor 1
does 1
down 4
drops 1
dublin 3
each 1
early 1
edge 1
efforts 1
empress 7
en 1
end 2
enforcer 1
england 2
enraging 1
entire 1
ermina 1
evening 2
ever 2
failure 1
fair 1
father 1
feels 1
feigned 1
fell 1
felons 2
field 1
fields 1
fight 1
fighting 1
fill 1
filled 1
find 2
finding 2
finds 1
finish 1
follow 2
followed 1
following 1
foot 4
for 12
forced 1
forcefully 1
forces 1
forfeit 2
forget 1
four 1
friend 1
friends 1
from 15
fully 1
functional 1
game 1
generous 1
gently 1
gift 1
giles 1
giving 1
glares 1
god 1
goes 1
goldsmith 1
gone 1
great 2
grief 2
ground 1
groups 1
guide 1
had 4
hampered 1
hand 1
happier 1
has 8
hate 1
have 2
he 34
head 1
heading 1
heard 1
hears 2
heavy 1
heiress 1
held 1
help 1
helps 1
henry 8
her 10
