11715022
/m/02rpwkw
/m/02rpwkw
Douglas Niles
1983
a 8
action 1
adventurers 1
an 2
and 3
army 1
at 3
awaits 1
bands 1
be 1
cave 1
caves 1
characters 2
conquests 1
dragon 1
dungeon 1
end 1
ever 1
evil 1
false 1
filled 1
fort 2
from 2
full 1
gather 1
gathering 1
goblins 2
guido 1
hardy 1
has 1
her 1
hill 4
hobgoblins 2
home 1
hulking 1
in 2
is 3
island 1
it 1
labyrinth 1
layer 1
lies 1
located 1
looms 1
lowest 1
makes 1
mass 1
midst 1
mighty 1
mile 1
monsters 1
mountain 1
must 1
mysterious 1
no 1
of 8
on 1
only 2
or 1
out 1
over 1
penetrate 1
plan 1
player 2
prove 1
red 1
returned 1
river 3
road 1
rumors 1
say 1
scenario 1
scene 1
separates 1
separating 1
series 1
set 1
settlement 1
shrill 2
that 2
the 17
their 1
there 1
they 1
this 2
threelevel 1
tiny 1
to 4
true 1
turns 1
visitor 1
volcanic 1
where 1
which 1
wide 1
witch 1
with 2
young 1
