594829
/m/02tkwc
/m/02tkwc
Janet Fitch
1999
38 1
a 39
abandon 1
abandoned 1
abandonment 2
about 2
above 1
absorbed 1
abusing 1
acid 1
actress 1
addict 1
addictions 1
admirers 1
admires 1
affair 2
afraid 1
africanamerican 1
after 5
against 1
age 1
aged 1
aids 1
alcoholic 1
all 7
allows 1
also 3
amelia 5
an 6
and 45
anders 1
angeles 1
annie 4
answers 1
are 3
argentina 1
argument 1
arms 1
arrives 1
art 3
arthritis 1
artistic 1
as 12
ask 1
asks 1
asleep 1
astrid 47
at 10
attempts 1
away 1
babysitter 2
back 1
barry 7
be 4
beautiful 1
beauty 1
because 3
become 1
becomes 5
been 1
before 2
befriending 1
befriends 1
begin 1
begins 4
begun 1
believe 1
berlin 1
better 1
birthday 1
bitten 1
bitter 1
bond 1
bones 1
boy 2
boyfriend 2
break 2
breaking 1
broken 1
build 2
but 5
buying 1
by 9
california 2
can 1
care 2
case 3
caseworker 1
center 1
charged 1
cheating 1
children 6
choice 2
chooses 1
claire 5
close 1
coldhearted 1
come 1
comfort 1
commits 1
constant 1
continues 2
contracted 1
corresponding 1
could 1
culminate 1
damaged 1
dating 1
daughter 2
day 1
death 1
demerol 1
depends 1
designer 1
despite 2
detailing 1
devastated 1
did 2
dies 1
different 1
dinner 1
disgusted 1
dmso 2
do 1
does 2
dogs 1
doing 1
down 1
drug 3
drugs 1
drunk 1
drunken 1
due 1
during 2
easy 1
eating 1
eccentric 1
ed 1
elegant 1
else 1
embraces 1
enough 2
enraged 1
ensure 1
even 1
eventually 2
every 1
everything 1
exchange 1
expelled 1
experience 1
face 1
fact 2
falling 1
family 3
fans 1
father 2
fears 2
fed 1
few 1
fifteenth 1
fights 1
final 2
finds 2
finer 1
first 2
fitting 1
flat 1
for 8
forget 2
former 2
foster 10
friends 1
from 9
garbage 1
germany 1
get 1
gets 1
getting 2
girl 1
girls 5
given 1
gives 1
go 1
goatman 1
goes 1
gone 1
group 1
grushenka 1
gunshots 1
had 1
has 11
hated 1
have 3
having 1
he 3
hedonistic 1
her 43
herself 1
high 1
him 5
his 2
hispanic 1
hollywood 1
home 6
homes 2
hospital 1
hospitalized 1
house 3
household 2
how 1
however 2
humiliated 1
husband 1
if 3
immigrant 1
imprisonment 1
in 24
increasingly 1
individual 1
influence 1
ingrid 22
innocent 1
intentionally 1
interest 1
interior 1
into 3
involved 1
is 35
it 2
johnstone 1
journey 1
keeps 1
kids 2
klaus 2
knew 1
know 1
known 3
kolker 1
large 1
later 1
latina 1
lawyer 1
learn 1
leave 1
leaving 3
left 2
lets 2
lie 1
life 5
lifestyle 1
likely 1
little 2
live 1
livein 1
lives 3
living 3
lock 1
los 1
loud 1
lunches 1
mac 1
maclaren 1
made 1
magnussen 2
makes 2
making 2
man 1
many 1
marijuana 1
marvel 1
meanwhile 1
meets 1
memories 1
menstruating 1
mixture 1
more 6
mornings 1
mother 8
much 2
murder 2
must 1
named 7
neighbor 1
new 3
next 2
nextdoor 1
night 2
niki 3
not 6
nuclear 1
numerous 1
of 18
old 2
oleander 2
olivia 6
on 8
once 1
one 4
or 1
oral 1
originally 1
other 3
outside 1
over 5
overdosing 1
own 3
pack 1
pain 1
parents 2
park 1
part 1
past 1
paul 3
performs 1
person 1
pieces 1
placed 1
placement 2
poet 1
point 2
poison 1
position 1
power 1
pregnant 1
prescription 1
prison 4
profession 2
promises 1
prospective 1
prostitute 1
pursue 1
pursuing 1
questions 1
race 1
ramos 1
ray 4
realize 1
realizes 2
reconciliation 1
recovering 1
refrigerator 1
relapses 1
relationship 2
released 1
relies 1
remember 1
remembers 1
rena 5
representing 1
repulsive 1
resort 1
resorts 1
result 2
return 1
returns 1
revealed 1
reveals 1
richards 1
romantically 1
ron 3
rule 1
rules 1
run 1
russian 1
same 1
sap 1
scars 1
school 3
see 1
seeming 1
selfcentered 1
selfimposed 1
sent 2
sentenced 2
sergei 1
series 1
set 1
seventeen 1
sex 1
sexual 1
shared 1
shattered 2
she 31
shoots 1
shows 1
skin 1
small 1
so 2
solely 1
solitary 1
some 2
son 1
spends 1
spreading 1
starr 5
starve 1
starves 1
stay 1
stitches 1
stops 1
stripper 1
suffers 1
suicide 1
suitcases 1
surfaces 1
suspects 1
taken 2
takes 1
teaches 1
teenage 1
tells 2
testifies 1
testify 2
than 1
that 15
the 32
their 3
them 1
then 2
they 2
things 1
this 2
through 3
time 2
times 1
to 29
too 1
towards 1
treated 1
trips 1
trouble 1
trout 1
truth 1
turlock 2
turlocks 2
twelveyearold 1
twenty 1
twice 1
two 5
uncle 1
unfinished 1
uninterested 1
unless 1
unpaid 1
up 1
using 1
very 1
walk 1
want 1
was 2
watches 2
wealth 1
weeks 1
well 2
were 1
what 1
when 1
which 2
who 5
whom 1
why 1
will 3
win 1
winter 1
with 19
without 1
woman 3
women 1
worsen 1
would 1
year 2
years 1
younger 1
yvonne 2
