5270108
/m/0dbtkn
/m/0dbtkn
Helen Cresswell
1977
a 22
about 1
abruptly 1
absence 1
act 1
acting 1
alfresco 1
amongst 1
an 2
and 16
any 1
appearing 1
appears 1
argument 1
arm 2
arrival 1
as 9
at 2
attempt 1
attempting 1
attentions 1
aupair 1
bagthorpe 8
ball 1
balloon 1
be 1
bear 1
bearing 1
bears 2
beat 1
because 2
become 1
being 2
birthday 2
books 1
box 1
brandishing 1
breaking 1
broken 1
bubble 2
build 1
by 5
car 1
cards 1
carrying 1
cassette 1
cat 1
caused 1
causes 1
chews 1
child 1
chooses 1
clandestine 1
coloured 1
comic 1
complete 1
concern 1
concerning 1
conspiracy 1
conspire 1
containing 1
continues 2
corner 1
cousin 1
crystal 1
dabbles 1
daisy 4
danish 1
date 1
day 1
depressed 1
destroy 1
destroyed 1
dialogue 1
diary 3
dining 1
disastrous 1
disrupted 2
do 1
dog 1
dressed 1
during 2
ends 1
enlists 1
equal 1
evening 1
events 2
ever 1
evidence 1
excited 1
excuses 1
exposed 1
failure 1
family 6
father 1
fetch 1
finally 1
fine 1
fire 2
fires 1
fireworks 1
first 3
flushed 1
for 3
forestalled 1
found 1
from 2
frustrations 1
fulfilled 1
further 1
garden 1
giant 2
goaded 1
grandma 1
grandmother 1
has 1
hatching 1
have 1
he 3
headstand 1
help 1
her 4
hidden 1
hides 1
him 1
himself 1
his 14
home 1
house 1
however 1
i 1
illusion 1
immobility 1
in 8
interpret 1
into 2
inventiveness 1
involve 1
involved 1
involving 2
is 8
it 1
itself 1
jack 12
killed 1
later 1
latest 1
lavender 2
life 1
lightens 1
literary 1
make 1
makes 2
making 1
man 1
meeting 2
members 1
men 1
microphone 1
mistakes 1
mood 1
most 1
mr 6
mysteriously 1
mystical 1
naming 1
nears 1
next 1
of 10
on 2
only 1
or 1
ordinary 1
over 1
parker 6
party 3
peak 1
pile 1
pleased 1
plot 2
praise 1
prediction 3
predicts 1
previous 1
previously 1
problems 1
process 1
prophecy 4
prophesies 1
prophet 1
purchase 1
pyromania 1
reach 1
reading 2
record 1
recorder 1
red 1
reflection 1
result 1
return 1
returns 2
revealed 1
rises 1
room 1
rosie 3
scheme 1
scriptwriter 1
see 1
seer 1
series 1
serious 2
set 2
shortly 1
sister 1
smoke 1
some 1
spectacular 1
squabble 1
stick 1
sticks 1
store 1
succeeds 1
success 1
suffers 1
suit 2
swimming 1
symbol 1
talented 1
tarot 1
teaches 1
that 1
the 28
their 1
thereafter 1
they 3
thomas 1
through 1
tidings 1
to 16
turmoil 1
turn 1
twice 2
two 1
unable 1
uncle 6
under 1
up 2
uses 1
visit 1
was 1
way 1
wheels 1
when 1
where 2
which 2
white 1
will 2
with 4
work 1
working 1
worries 1
writing 1
younger 2
zero 3
