7729746
/m/026b5gf
/m/026b5gf
Todd Strasser

a 6
after 1
already 1
and 9
are 2
around 1
as 2
badly 1
be 1
beaten 1
being 1
both 1
boys 2
brendan 4
bring 1
bullied 1
by 4
characters 1
coma 1
committed 1
conducted 1
constantly 1
dance 1
darker 2
disarming 1
everyone 1
everything 1
few 1
fire 1
football 2
for 1
gary 4
get 2
go 2
guns 1
had 1
having 1
he 1
high 1
him 1
hold 1
hostage 1
if 1
in 1
injuring 1
interviews 1
into 1
is 3
it 1
later 1
lawlor 1
limit 1
lives 2
long 1
main 1
makes 1
middletown 1
much 1
narrator 1
not 1
of 1
on 1
open 1
players 1
problems 2
revealed 1
said 1
school 2
searle 1
seem 1
series 1
sneak 1
so 1
some 1
stepsister 1
story 1
stress 1
students 1
suicide 1
survives 1
tackle 1
take 1
team 1
the 5
their 5
them 1
then 2
they 3
to 5
while 3
worse 3
written 1
