5405150
/m/0dkcfh
/m/0dkcfh
Jeanne DuPrau
2006-05-09
{"/m/01hmnh": "Fantasy", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
a 16
action 1
actions 2
admonitions 1
against 3
also 1
althea 4
amanda 1
an 1
and 25
are 4
as 4
assigned 1
aunt 1
back 1
ban 1
be 4
become 1
beeson 4
befriended 1
beginning 1
begins 1
behind 1
between 1
book 2
boy 1
bracelets 1
brenda 1
brief 1
brought 1
builders 1
burning 1
buzzing 1
by 1
california 1
calls 1
care 1
carolina 1
chapters 1
city 4
coming 1
communicates 1
community 1
comply 1
concludes 1
conflict 1
crisis 1
crystal 2
deadline 1
deals 1
desires 1
died 1
directs 1
discovered 1
do 1
dog 2
dogs 2
doon 1
dreamlike 1
during 1
ember 4
enemy 1
enforce 1
entire 1
eventually 2
evil 2
fail 1
falls 1
family 1
father 3
fears 1
features 1
fierce 1
final 1
find 1
fitted 1
flames 1
floor 1
follow 1
for 3
foul 1
founders 1
from 2
future 2
girl 3
god 4
good 2
government 1
gradually 1
greatgrandfather 1
greenhaven 2
grover 1
harrow 1
has 3
he 1
her 9
hides 1
house 2
ie 1
imposition 1
in 14
indistinct 1
inherited 1
insists 1
instructions 1
interpretation 1
interpretations 1
is 10
it 2
journal 2
keeps 1
known 1
leader 1
leaves 1
lights 1
lina 1
lived 1
living 1
local 2
majority 1
mayfleet 1
mom 1
months 1
more 2
moving 1
mrs 3
mutters 1
named 2
nations 2
near 1
nickie 14
no 4
north 1
nursery 1
of 15
offered 1
old 1
on 2
one 2
ostracised 1
outlining 1
overthrown 1
own 1
parents 1
people 1
phalanx 2
philadelphia 1
phrases 1
place 1
plan 1
police 1
postcards 1
preparations 1
progress 1
project 1
prominent 1
quit 1
ramblings 1
read 1
requires 1
results 1
returning 1
revealed 1
right 1
rock 1
secret 1
sees 1
sell 1
semiconscious 1
sending 1
senses 1
she 4
short 1
singing 1
sinners 1
sixties 1
smoke 1
so 1
someone 1
spends 1
spies 1
start 1
state 1
story 2
strict 1
struggle 1
subsequently 1
take 1
target 1
terrorists 1
that 5
the 35
their 1
them 2
they 1
third 1
this 2
those 1
through 1
time 1
to 17
tower 2
town 2
townspeople 1
travelling 1
undercurrent 1
unreasonable 1
us 2
verbal 1
via 1
vision 1
war 3
way 1
ways 1
what 1
when 1
where 1
which 1
who 3
whom 1
with 11
woman 2
words 3
work 1
working 1
world 1
would 1
writes 1
wrong 1
yonwood 2
young 1
