1943391
/m/067x33
/m/067x33
Catherine Storr
1958
158 1
164 1
a 8
adding 1
all 1
also 1
and 8
are 1
around 1
as 2
attempts 1
avebury 2
based 1
becomes 1
bedridden 1
been 1
better 1
books 1
boy 1
by 6
called 1
catherine 1
child 1
circle 1
companion 1
crossing 1
drawing 1
drawings 1
drawn 2
draws 1
dreams 4
dreamworld 1
faber 2
fantasy 1
fill 1
finds 1
first 2
girl 1
goes 1
has 2
her 6
high 1
house 4
if 1
illness 1
illustrated 1
in 7
invalid 1
is 6
it 2
later 1
longterm 2
looks 1
make 2
marianne 5
marjorieann 1
mark 2
menacing 1
more 2
novel 1
of 3
on 1
only 1
out 1
paperback 1
picture 2
prehistoric 1
printed 1
progressively 1
published 1
puffin 1
real 1
sequel 1
she 4
sicker 1
small 1
spend 1
spends 1
standing 1
starts 1
stone 1
stones 1
storr 1
that 3
the 7
things 3
this 1
thought 1
time 3
to 5
trapped 1
up 1
very 1
village 1
was 4
watts 1
who 2
wiltshire 1
windows 1
with 3
within 2
world 2
worse 1
young 1
