10639019
/m/02qky5r
/m/02qky5r
Michael Carroll

{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
1th 1
a 11
accountancy 1
after 1
against 1
aim 1
aka 1
alarming 1
although 1
an 3
ancient 1
and 21
angloscottish 1
another 2
appliances 1
aristocractic 1
around 1
as 5
at 2
autumn 1
back 1
based 2
bastard 3
battle 2
be 1
beautiful 1
begin 1
birth 1
black 1
border 1
born 1
but 1
by 3
campaign 1
can 2
cantankerous 1
century 1
certificate 1
clause 2
combines 1
complicated 1
couple 1
courtesy 1
crescent 1
cruise 1
customs 1
daughter 1
deaths 1
department 1
desires 1
dies 1
discovery 1
does 1
doesnt 1
double 1
dying 1
educational 1
edwin 3
electricity 1
else 1
embarks 1
entire 2
environment 1
equipment 1
estate 2
ever 1
everything 1
evict 1
excise 2
exist 1
extensive 1
fallingdown 1
family 3
father 2
fell 1
fighting 2
finale 1
find 1
finds 1
firm 1
flawse 8
flog 1
for 2
forfeit 1
from 1
gentry 1
get 1
grandchild 1
grandfather 1
grandson 1
grasping 1
hall 3
has 5
he 4
health 1
her 3
hero 1
hexham 1
him 3
his 12
home 2
house 1
houses 1
human 1
husband 1
if 1
illegitimate 1
imagined 1
immediate 1
immediately 2
in 10
inch 1
includes 1
inclusion 1
inevitable 1
inherit 1
inheritance 1
innocence 1
innocent 1
innocents 1
intention 1
involves 2
is 8
jessica 3
job 2
just 1
knows 1
landed 1
late 1
leave 1
life 3
lifespan 1
little 1
lives 1
located 1
lockhart 6
london 1
longs 1
loses 1
main 1
majesty 1
making 1
male 1
man 3
marriage 1
marry 1
member 1
men 1
merciless 1
middleaged 1
miles 1
modern 2
more 1
motherinlaw 2
moving 2
mrs 1
named 1
national 1
natural 1
near 1
nearest 2
never 1
new 2
no 2
northumberland 2
not 2
nothing 1
octenegarian 1
of 15
old 3
older 1
on 3
one 1
or 4
other 1
owned 1
pair 2
plot 3
pockrington 1
possible 1
prolonged 1
propensity 1
purley 1
railway 1
real 1
realises 1
refusal 1
register 1
remaining 2
retaliation 1
reunited 1
reverts 1
rich 1
sandicott 2
seat 1
service 1
several 1
sexual 1
she 4
shell 1
short 1
since 1
single 1
so 1
sold 1
sound 1
south 2
spiced 1
spirit 1
stating 1
station 1
statistically 1
stereotypical 1
strand 2
strands 1
subsequently 1
suburb 1
suburban 1
successful 1
taxidermist 1
taxmen 1
tenants 1
than 1
thanks 2
that 5
the 38
they 1
threatened 1
to 12
together 1
town 1
two 1
tyndale 1
ultimately 1
unable 1
up 1
use 1
very 2
vicious 1
violence 1
wants 1
was 1
when 2
while 1
who 2
wife 1
wilds 1
will 3
with 5
within 1
world 1
years 1
