11754104
/m/02rr56v
/m/02rr56v


{"/m/0dwly": "Children's literature"}
a 21
about 2
abracadabra 3
adopt 1
after 3
afternoon 1
all 1
alley 1
always 1
an 1
and 19
as 1
asks 1
at 3
away 1
back 1
be 1
beautiful 2
beautifully 1
been 4
between 1
blossom 4
bonus 2
box 1
breakfast 1
but 5
buys 1
can 1
cannot 1
catches 1
check 1
child 2
children 3
chooses 1
christmas 6
closed 1
closes 1
come 3
contains 1
contempt 1
conversation 1
could 1
day 1
decides 4
decorates 1
delivers 1
departs 1
despite 1
discouraged 1
dispatched 1
display 1
distance 1
distraught 1
does 1
doll 3
dropped 1
due 1
elsewhere 1
enjoy 1
ensures 1
everyone 1
exactly 1
eye 1
falls 1
family 1
feeling 1
finally 1
finds 1
for 8
found 2
from 1
furious 1
girl 2
go 1
goes 2
gone 1
grandma 4
grandmother 1
has 10
have 7
he 4
head 1
hectic 1
her 16
him 5
himself 2
his 4
hole 1
holiday 2
holly 9
home 4
homes 1
house 1
housenbspndash 1
hurls 1
husband 2
i 1
illuminated 1
in 9
indicate 1
infants 1
instead 2
is 12
it 7
ivy 12
job 1
jones 5
joneses 1
keep 1
key 4
landing 1
later 1
leaves 1
little 3
lives 1
lock 1
locked 1
locks 1
long 1
longer 1
look 1
looks 1
losing 1
love 1
malfunction 1
means 1
meanwhile 2
mill 4
money 1
morning 1
mr 4
mrs 2
mysteriously 1
named 1
nearby 1
neither 1
new 1
next 2
night 2
no 5
nor 1
not 2
notices 1
noticing 1
of 6
officer 2
on 3
one 2
only 1
orphanage 2
out 2
outside 3
overhears 1
overlooked 1
owl 1
own 1
passes 1
past 1
patrol 1
peter 9
pick 1
pocket 1
present 1
put 1
quickly 1
reads 2
realizes 3
really 1
refuses 1
retrieve 1
returns 2
robbed 1
room 1
saved 1
saying 1
search 1
select 1
send 1
she 16
shelter 1
shop 2
shortly 1
sign 1
since 3
slips 1
snow 1
so 2
sold 1
some 1
spending 1
standing 1
stopped 1
store 9
suggests 3
take 3
takes 2
telling 1
that 18
the 34
they 5
this 1
through 1
tired 1
to 21
town 2
toy 6
train 2
trash 1
treats 1
tree 3
true 2
undisguised 1
up 4
use 1
v 1
valley 4
vanished 1
various 1
very 2
walking 1
want 1
wanted 2
was 1
waste 1
welcome 1
well 1
what 1
when 3
which 3
while 1
who 1
will 2
wind 1
window 2
winds 1
wish 1
wishes 1
wishing 1
with 3
without 2
words 1
work 1
would 1
wrapped 1
y 1
year 2
