1823283
/m/05zs95
/m/05zs95
Lucy Maud Montgomery
1919
{"/m/0dwly": "Children's literature"}
15 1
a 13
about 2
absentminded 1
absorbed 1
accept 1
after 3
again 3
agrees 2
all 1
always 2
an 2
and 17
anne 2
anyone 1
are 2
arrived 1
as 4
ask 1
asks 1
at 1
aunt 1
beau 1
become 1
becomes 1
becoming 1
been 2
behave 1
behavior 1
better 1
bigger 1
bitter 1
blythe 2
blythes 2
book 2
brought 1
but 2
by 3
called 1
can 1
care 1
carl 2
causes 1
causing 1
childhood 1
children 9
church 1
club 1
considered 1
couple 1
day 1
deaf 1
death 1
deaths 1
despite 1
di 1
did 1
double 1
douglas 1
each 1
earlier 1
ease 1
easily 1
ellen 4
elliot 1
engaged 1
europe 1
even 1
eventually 1
explain 1
expressing 1
failings 1
fainting 1
faith 2
fall 1
fallen 1
families 1
fasting 1
father 4
feelings 1
find 1
finds 1
following 1
for 6
forbids 1
forming 1
four 1
from 2
gathering 1
generally 1
get 1
gilbert 1
girl 1
give 1
glen 1
goes 1
goodconduct 1
gotten 1
graveyard 1
guilt 1
had 1
happens 1
has 5
hates 1
have 3
he 6
hear 1
help 1
her 12
his 3
holiday 1
hollow 1
home 1
hours 1
however 1
ill 1
in 11
into 2
is 5
jem 2
jerry 1
john 5
kind 1
kindness 1
know 1
late 2
lead 1
leave 1
lives 1
love 2
loyalty 1
many 1
marriage 1
married 1
marry 3
marshall 1
martha 1
mary 4
matters 1
mean 1
meredith 8
merediths 3
mind 1
minister 2
mischievous 1
misdeeds 1
misgivings 1
most 1
mother 2
mr 2
mrs 1
nan 1
never 2
new 1
news 1
night 1
norman 2
not 1
now 2
of 8
often 1
old 1
older 1
on 1
only 3
orphaned 1
other 2
over 1
overhears 1
parenting 1
parents 1
partially 1
place 1
plan 1
play 1
pneumonia 1
promise 1
promised 1
properly 1
proposes 1
punish 1
punishments 1
question 1
rainbow 1
realizes 1
release 1
rescue 1
returns 1
reunites 1
rilla 1
rosemary 9
scandal 1
scrape 1
selfimposed 1
sets 1
she 1
shirley 2
should 1
since 1
sister 1
six 1
skills 1
so 1
some 1
sometimes 1
speak 1
spending 1
st 1
starvation 1
stepmothers 1
suitability 1
surprised 1
take 1
ten 1
tend 1
that 4
the 23
their 6
them 2
themselves 1
theology 1
they 4
thinks 1
thirties 1
this 1
though 1
thought 1
to 19
told 1
townsfolk 1
tries 2
trouble 1
una 4
up 1
valley 1
vance 3
very 1
village 1
walter 1
wedding 1
west 1
wet 1
when 3
which 3
who 5
widower 1
wife 1
wild 1
will 1
with 8
woman 1
wracked 1
years 3
young 1
