10023478
/m/02p_480
/m/02p_480
Geoff Ryman
2006
{"/m/05hgj": "Novel"}
12th 1
a 4
account 1
activities 1
addition 1
an 1
ancient 1
and 6
as 1
been 1
between 1
but 1
by 1
cambodia 2
cambodian 1
century 1
contrast 1
corruption 1
counterpart 1
explicit 1
fictional 1
flashback 1
for 1
former 2
gold 1
have 1
his 1
in 4
is 4
it 1
its 1
jayavarman 2
khmer 1
king 1
last 1
leaf 1
lengthy 1
lieutenant 1
life 1
makes 1
map 2
memoir 1
memoirs 1
modern 1
motoboy 1
not 1
novel 1
of 6
opulence 1
parallel 1
pol 1
policeman 1
pot 1
poverty 1
reign 1
rouge 1
search 1
set 1
stolen 1
story 1
tells 1
the 9
there 1
they 1
thread 1
to 1
told 1
vii 1
violent 1
war 1
which 1
william 1
years 1
young 1
