3511512
/m/09hjw_
/m/09hjw_
Tomie dePaola
1975
{"/m/0dwly": "Children's literature"}
a 6
acquaintance 1
advantage 1
afterwards 1
all 1
amounts 2
and 2
anthony 6
assistance 2
big 6
blows 1
book 1
bow 1
but 1
by 3
care 1
chanting 1
close 1
commands 1
conjured 1
cooking 1
day 1
decides 1
dim 1
doctor 1
eat 1
employs 1
enchanted 1
entire 1
exploits 1
female 1
focuses 1
for 4
forgets 1
fork 1
great 1
had 1
hands 1
he 1
her 4
him 1
his 2
home 2
however 1
humongous 1
intrigued 1
is 1
kisses 2
lanky 1
leaving 1
man 2
named 1
nightfall 1
nona 4
noodles 1
noted 1
numerous 1
of 8
on 3
one 1
overflows 1
pasta 5
pleads 1
pot 2
remedies 1
residence 1
returns 1
sea 1
she 2
sort 1
spell 1
strega 4
stuffed 1
successful 1
summoning 1
the 11
three 2
throughout 1
times 2
to 5
town 1
troublesome 1
under 1
unlimited 1
upon 1
use 1
used 1
village 1
villagers 1
visiting 1
was 1
when 1
which 1
while 1
witch 1
young 2
