5529131
/m/0dr1kp
/m/0dr1kp
Willy Vlautin
2007-04-05

1000 1
5000 1
800 1
a 9
abandons 1
abused 1
accident 1
accidentally 1
acting 1
adopts 1
again 1
along 1
also 1
although 1
an 1
and 14
annie 1
are 4
at 2
attempt 1
attempts 1
back 1
becomes 2
bets 1
bicycle 1
blame 1
blizzard 1
both 3
boxing 1
boy 2
brothers 1
burnedout 1
burns 1
but 1
buy 1
by 1
car 3
case 1
certain 1
cheap 1
come 2
consumed 1
convinces 2
day 1
dead 2
discovered 1
dog 1
down 1
downandout 1
drink 1
driving 1
dropouts 1
drunk 1
during 2
elko 2
exgirlfriend 1
existence 1
family 1
far 1
fault 1
fight 1
finds 1
flannigan 1
flee 2
for 1
forest 1
frank 7
friend 1
from 3
go 1
guilt 1
halffrozen 1
have 1
he 8
heads 1
healed 1
heavily 1
her 1
hide 1
high 1
him 2
himself 1
his 2
hits 1
home 2
hopes 1
hospital 2
idaho 2
in 9
interest 1
into 2
is 2
it 1
jerry 9
jobs 1
kills 1
lands 1
leave 1
leaves 1
lee 9
leg 1
live 2
lives 2
match 1
meager 1
meanwhile 1
men 3
money 1
montana 1
more 1
motel 1
nevada 2
night 1
no 2
odd 1
of 6
on 5
once 1
one 1
out 1
outside 1
police 4
put 1
question 1
quickly 1
reno 4
return 1
rooms 1
run 1
school 1
scrapes 1
secluded 1
secretly 1
seem 1
separately 1
settle 1
shooting 1
sick 1
sneaks 1
snowstorm 1
so 1
stands 1
suicide 1
survives 1
take 1
teenage 1
teenager 2
than 1
that 1
the 22
their 2
them 1
then 1
there 1
they 1
tip 1
to 11
together 1
town 2
tracks 1
two 1
tysonholyfield 2
used 1
uses 1
very 1
watching 1
way 1
while 1
who 2
will 1
winning 1
winnings 1
with 1
witnesses 1
work 1
wounds 1
wreck 1
wyoming 1
