24714702
/m/08087g2
/m/08087g2
Henry Newbolt

a 13
abandons 1
achieves 1
administrative 1
adventures 2
after 2
afterward 1
afterwards 2
ailinn 1
aithne 3
aithnes 1
aladore 2
allegorical 1
also 1
and 18
appear 1
are 1
as 1
at 1
away 1
battle 1
beast 1
bored 1
both 1
brother 1
building 1
built 1
by 4
castle 1
castles 1
chess 1
child 1
cities 1
city 5
companies 1
contrast 1
counterpart 1
course 1
created 1
custom 1
daughter 1
desire 1
duties 1
duty 1
dwelling 1
eagle 1
enchantress 1
encounters 1
enduring 1
estate 1
excommunicate 1
exploring 1
fashion 1
fauns 1
feasting 1
final 1
finds 1
following 1
for 2
form 1
from 1
goes 1
great 1
halffae 1
hands 1
has 2
he 10
heart 1
heritage 1
hermit 2
him 1
his 8
howling 1
in 8
instruction 1
intervenes 1
ireland 1
is 6
it 1
kerioc 1
knight 1
lady 2
lands 1
led 1
likeness 1
lives 1
lost 1
maidens 1
mishandled 1
more 1
mortal 1
newbolt 1
objective 1
occasions 1
of 21
ogier 1
on 3
ones 1
paladore 6
paladores 1
perish 1
pilgrimage 1
poem 1
preserved 1
qualities 1
quest 2
question 1
representation 1
resembling 1
return 2
revisiting 1
saints 1
sand 1
seek 1
seeks 1
self 1
separate 1
shore 1
sidhedescended 1
sir 1
sojourns 1
song 1
south 1
standin 1
story 1
strife 1
subject 1
subsequent 1
swept 1
takes 2
test 1
the 33
then 1
there 1
they 1
three 1
tide 1
time 1
to 8
tower 1
two 3
under 1
undertakes 1
various 1
vision 1
visits 1
warring 1
wearied 1
wed 1
which 2
while 1
whom 1
whose 1
wilderness 1
willothewisp 1
with 4
wonder 1
wondering 1
woos 1
younger 1
youth 1
ywain 2
ywains 1
