8700946
/m/027fgpb
/m/027fgpb
Libba Bray
2007-12-26
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 24
aback 1
absence 1
absorbed 1
academy 2
across 1
affection 1
after 5
afterlife 1
afterwards 1
again 1
all 4
alone 1
aloof 1
also 1
alter 1
amar 1
america 1
among 1
amongst 1
amulet 1
an 1
and 24
angrily 1
angry 1
ann 4
any 1
apologizes 1
appear 1
are 3
arrange 1
as 5
asks 4
at 7
attempt 1
attempts 3
attend 1
away 1
back 2
backdoorlike 1
bark 1
barrier 1
be 1
because 1
become 2
before 3
begins 2
being 1
believe 1
berries 2
between 6
beyond 1
bit 1
boat 2
bodies 1
body 1
book 1
borderlands 1
breaking 1
bring 1
broken 2
brother 3
builds 1
business 1
but 6
by 7
can 2
cannot 1
capture 2
castle 2
cave 1
chosen 1
claims 1
club 1
clues 1
coldness 1
collapses 1
come 2
coming 1
continues 1
cost 1
could 1
counteract 1
courses 1
creature 1
creatures 5
crescent 1
cross 4
crossing 1
crushes 1
cut 1
dagger 1
dead 1
debut 1
despite 1
destinies 1
details 1
did 1
didnt 1
different 1
discover 1
discovery 1
do 1
dock 1
docks 1
does 1
done 1
doom 1
dreams 3
dress 2
during 2
each 2
east 1
ends 1
enlist 1
enlists 1
enter 1
entering 1
entry 1
escape 2
eugenia 1
even 1
events 1
eyes 1
fashion 1
fearing 1
feeling 1
felicity 8
fence 1
fight 1
finally 2
find 4
finds 5
follow 1
following 1
follows 1
for 10
forever 1
forth 1
fowlson 3
friend 1
friends 2
from 2
gave 1
gemma 34
gemmas 1
girl 5
girls 4
give 1
gives 1
go 1
group 4
grow 1
growing 1
grown 1
guilty 1
gypsies 1
had 3
halflife 1
hands 1
has 4
have 2
he 6
heartbroken 1
hed 1
help 1
helps 1
her 30
herself 1
him 3
himself 1
his 6
hms 1
home 1
hope 1
hoped 1
hopes 1
if 1
illusionist 1
in 21
incidents 1
indeed 1
independently 1
informed 1
informs 1
inside 1
into 10
is 10
it 2
its 1
jewelry 1
join 1
joining 1
kartik 11
kill 1
kiss 4
land 1
last 1
later 1
lavender 2
leads 2
learns 1
leaves 2
leaving 1
left 2
live 1
lived 1
lives 2
london 2
long 1
longer 1
loose 1
love 1
loyal 1
magic 6
make 2
manners 1
many 1
mccleethy 2
meeting 4
member 1
men 1
money 1
month 1
moon 1
more 1
mother 1
moves 1
mr 2
ms 2
much 1
mysterious 2
need 1
no 1
not 1
obviously 1
of 25
off 1
offering 1
offers 2
on 3
once 1
one 2
open 1
or 3
order 2
orlando 1
other 3
out 2
over 2
panics 1
patience 1
peace 1
peak 1
pick 1
pippa 13
place 1
plainess 1
plot 1
posed 1
possession 1
power 1
pressure 1
previously 1
prologue 1
pushes 1
quickly 3
rage 1
raging 1
rakshana 5
reality 1
realms 14
reconstruction 1
recreating 1
refuses 4
relationship 1
returns 1
reveal 1
revealed 1
river 3
run 2
sacrifice 1
sacrifices 1
safe 1
safety 1
said 1
sailor 2
same 1
sanity 1
save 1
saved 1
seal 2
searching 1
seducing 1
see 2
sees 2
share 2
she 16
short 1
should 1
side 1
sighs 1
similar 1
simply 1
since 1
some 1
soon 2
souls 3
spence 7
stabbed 1
stay 1
still 1
stomps 1
stone 1
stop 1
struggles 1
struggling 1
such 1
take 1
taken 1
talk 1
taught 1
teach 1
tears 1
tell 1
that 10
the 78
theatre 1
their 9
them 5
themselves 1
then 2
there 3
these 1
they 14
thin 1
this 3
though 1
threat 1
three 2
time 2
to 45
together 1
tolerance 1
tom 2
topic 1
touch 1
touching 1
tree 5
tried 2
troupe 2
true 2
trying 3
two 5
ultimately 1
unaware 1
unearthed 1
university 1
unlike 1
unsuccessfully 1
up 1
upon 2
upset 1
use 1
uses 1
venture 1
very 1
visions 2
visiting 1
waiting 1
waits 1
waning 1
war 2
was 5
way 1
waylaid 1
wearing 1
wears 1
what 4
when 5
where 3
which 1
while 3
whim 1
who 5
whom 1
whose 2
will 1
wing 1
winterland 1
winterlands 3
with 12
without 1
worlds 3
would 1
years 1
