519933
/m/02kywh
/m/02kywh
Doris Lessing
1979
180 1
180stade 1
20th 1
6 1
a 14
accelerate 1
accelerated 1
activities 1
addition 1
again 1
ahead 1
allegorical 1
ally 1
also 1
amenable 1
among 1
an 3
anarchy 1
and 26
are 3
argo 1
as 4
astral 1
at 1
attempt 1
barbarians 1
battle 1
begin 2
begins 1
benevolent 1
between 2
book 4
born 1
bourgeoning 1
break 1
but 3
by 3
called 1
canopean 3
canopeans 3
canopus 13
causes 1
centred 1
century 1
change 1
clean 1
climate 1
coexistence 1
colonise 1
coming 1
communities 1
community 1
confine 1
conflict 1
constellation 1
contact 1
continents 1
converted 1
correct 1
corrective 1
cosmic 1
course 1
currents 1
days 1
decline 1
declines 1
degenerated 2
degenerates 1
degenerative 1
deprived 1
described 1
develop 1
development 1
disease 1
disguise 1
disturbance 1
dormant 1
during 1
earth 2
elaborates 2
emissaries 2
emissary 1
empire 2
empires 1
enemy 1
escape 1
establish 1
establishes 1
eve 1
evil 1
evolution 1
experiments 2
exploit 1
famine 1
far 1
fighting 1
five 2
flowing 1
for 3
form 1
four 2
freely 1
from 3
fruitful 1
further 1
galactic 1
genetic 1
george 1
goals 1
greed 1
grow 1
grows 1
harmony 2
has 2
have 1
he 3
help 2
his 2
holocaust 1
humanoids 1
identified 1
identifying 1
iii 1
impose 1
in 12
incarnated 1
individual 1
individuals 1
induced 1
infecting 1
influence 2
instructions 1
into 2
is 4
isolated 1
it 1
its 2
johor 3
largely 1
later 1
lessing 3
links 1
lives 1
locations 1
lock 3
losing 1
many 1
marriages 2
millennia 1
mutual 1
name 3
native 1
natives 7
navis 1
nbnb 1
next 2
not 1
nuclear 1
number 1
nurture 1
of 16
on 9
one 1
opportunities 1
or 1
other 4
out 1
over 1
peaceful 1
phase 1
planet 8
plans 1
population 1
prehistory 1
presence 1
preshikastan 1
promising 2
prosper 1
prosperity 1
puts 2
puttiora 2
ready 1
realign 1
realignment 1
rebuild 1
reduces 1
relocate 1
reluctantly 1
remain 1
remote 1
resources 1
resumes 1
return 1
returns 2
rohanda 6
salvage 1
same 1
selfdestruct 1
selfdestruction 2
sends 1
sent 1
series 3
set 1
shammat 4
sherban 3
shikasta 5
shikastan 2
shikastans 3
sirian 1
sirians 1
sirius 1
small 1
soon 1
southern 1
sowf 3
spread 1
spreads 1
star 1
steady 1
stream 1
strength 1
strengthened 1
stricken 1
strike 1
substance 1
substanceofwefeeling 1
successfully 1
such 1
survivors 1
sweeps 1
takes 1
that 2
the 55
their 6
themselves 2
then 3
they 2
third 1
this 2
those 3
three 2
through 1
time 1
to 16
too 1
trying 1
two 1
undermining 1
unemployment 1
unforeseen 1
up 1
via 1
waiting 1
war 3
ways 1
when 1
which 2
while 1
who 3
with 5
withdraw 1
without 1
word 1
work 1
world 1
young 1
zone 1
zones 4
zoneszones 1
