5236269
/m/0d9bnl
/m/0d9bnl
Amelia Atwater-Rhodes
2005-09
a 19
abducted 1
able 2
about 8
above 1
absence 1
aching 1
affectionate 1
afraid 2
after 7
agreed 1
agrees 1
ahnmik 17
aid 1
alasdair 4
all 3
allowed 1
almost 1
also 7
although 1
among 1
an 5
and 75
andreios 5
anger 1
anhamirak 3
anjay 4
another 2
any 1
anyone 1
anything 2
aplomado 1
appear 1
appears 3
araceli 25
arami 2
are 7
around 2
arrested 1
arrives 1
as 16
asking 1
at 2
audience 1
avian 4
avians 5
avianserpiente 2
awaited 1
awaits 1
awake 1
awakens 1
away 3
back 3
balance 2
balanced 2
be 8
beautiful 2
beauty 1
became 3
become 1
becomes 1
been 4
before 2
began 2
beginning 1
being 2
besides 1
best 2
better 1
between 3
beware 1
bit 1
blend 1
blood 2
bonds 1
both 6
breathing 1
bring 1
bringing 3
broken 1
brother 1
bursts 1
but 9
by 6
called 1
calls 2
can 2
captivating 1
carpets 1
cause 1
causing 1
chaos 2
child 1
children 3
choice 1
choir 1
city 3
cjarsa 13
clearly 1
close 1
closer 1
cobra 2
cobriana 5
combined 1
come 1
complete 1
completely 2
concocted 1
condition 1
confronts 1
control 6
controlled 1
could 3
court 10
coven 2
created 1
cruel 1
cruelty 1
cultures 1
custody 1
dancer 1
dances 1
danger 2
dangerous 1
dangers 1
danica 1
darien 16
daring 1
dasi 2
daughter 1
days 1
death 1
descendants 1
destroy 4
destroyed 3
destroying 1
destructiveness 1
developed 1
dictated 1
did 1
died 1
different 1
differing 1
discover 1
discovers 3
discreet 1
disguise 1
dived 1
do 4
does 1
doomed 1
drawn 1
dream 1
dreams 1
each 2
eager 1
easier 1
easily 2
ecl 12
elite 1
else 1
empire 1
empress 3
ended 1
enter 1
enters 1
escape 3
even 2
events 1
eventually 3
ever 1
every 1
everyone 1
everything 2
evil 2
exact 1
except 1
exception 1
executed 1
execution 1
existence 1
exists 1
explains 2
exposes 1
eye 1
face 1
fact 1
falcon 9
falcons 12
family 1
fate 1
father 5
favorites 1
fear 3
feet 1
few 3
fight 1
fighting 2
find 3
finds 2
first 3
fled 3
flee 2
flows 1
for 12
forced 1
forget 1
found 1
free 1
freedom 1
friend 2
friendship 1
frightening 2
from 11
full 1
future 1
gain 1
gave 4
get 1
girl 2
give 2
giving 2
go 3
goes 1
got 1
gradually 1
grandmother 1
grandson 1
great 1
grow 1
guard 1
guarded 1
guards 2
gyrfalcon 1
had 8
hai 10
half 1
halfserpiente 1
happened 1
has 11
have 5
having 2
hawk 1
he 22
head 1
heir 2
held 1
hell 1
help 4
helped 2
helpful 1
her 27
herself 4
hid 1
hierarchy 1
him 26
his 16
history 2
hold 1
home 1
hope 1
horrible 1
how 3
however 5
human 1
if 4
ignore 1
immediately 1
in 32
incredibly 1
infinite 1
inflict 1
informed 1
inside 1
instantly 2
instructs 1
intent 1
into 2
is 27
island 5
it 10
its 1
itself 1
justification 1
keep 3
kel 6
kept 1
key 1
kiesha 1
kill 1
killed 1
killing 3
kind 1
knew 1
knowing 1
knowledge 3
later 1
laws 1
leaders 1
learned 2
learning 1
learns 1
leave 2
leaves 1
led 1
left 3
less 1
let 2
lied 1
lies 1
life 1
lilian 1
lillian 5
line 4
live 1
lived 2
local 1
long 2
longer 1
lost 1
loved 1
lover 1
loyalty 1
made 3
magic 24
magical 1
magics 2
make 1
makes 1
manages 1
manipulated 2
many 1
marring 1
means 1
mehay 1
member 1
mercy 2
minds 1
missing 1
more 3
moreover 1
mortal 2
most 1
much 1
must 1
nacola 1
necessary 1
needed 1
never 2
nicias 25
night 1
no 4
nobody 2
not 8
nothing 1
nothingness 1
now 2
oblivion 1
obstacles 1
of 59
offers 1
older 1
oliza 6
on 13
once 2
one 4
only 3
opportunities 1
opposite 1
options 1
or 4
other 2
others 1
out 6
outcast 1
over 1
overcome 1
overwhelm 1
overwhelms 1
own 1
pain 2
painful 2
parents 2
part 3
partner 1
pattern 1
people 1
peregrine 2
period 1
permission 1
person 1
persuasion 2
planning 2
poison 1
power 2
powerful 1
powerhungry 1
powers 2
powersas 1
prevent 1
previous 1
process 1
produced 1
promise 1
prosperity 1
protected 1
proven 1
punishment 2
quickly 1
race 1
raised 1
rather 1
raven 1
reassures 1
receives 1
reckless 1
recklessness 1
refused 1
relationship 1
reluctant 1
remembered 1
reminder 1
removed 1
requested 1
resident 1
responsibility 1
rest 1
results 1
retaliate 1
retatialate 1
return 8
returns 4
reunition 1
ribs 1
rightful 1
roads 1
rode 1
room 1
royal 3
ruled 1
sad 1
safety 1
same 1
saw 1
saying 2
says 2
scars 2
sebastian 3
secret 3
see 2
seeing 1
seek 1
sees 1
sense 1
serious 1
serpent 1
serpents 3
serpiente 11
serpients 2
servos 1
several 1
shardae 3
share 1
she 29
shmecl 3
shocking 1
show 1
shows 1
sides 1
silence 1
silver 1
since 1
sing 1
skin 1
sky 1
slaughtered 1
so 9
soft 1
some 1
something 2
son 3
soon 1
speak 1
split 1
squarely 1
stab 1
stabbed 1
stands 1
start 1
started 1
starting 1
stay 1
stillness 1
stolen 1
strangle 1
strict 1
subtle 1
succeeded 1
succumbed 2
sure 1
surrendered 1
surrounds 1
survive 1
suspects 1
syfka 6
take 2
taken 1
taught 2
tell 1
telling 1
terrible 1
than 1
that 24
the 137
thea 1
their 6
them 8
then 4
there 2
these 3
they 11
thing 1
things 1
think 1
third 2
this 8
those 1
thousand 1
thousands 1
throne 3
thus 2
time 2
to 83
together 3
took 1
top 1
topple 1
torture 3
tortured 1
tower 1
travel 1
travelled 1
tried 1
tries 2
true 1
truth 5
try 1
turns 1
tuuli 1
twists 1
two 5
unable 4
uncertain 1
under 1
unlikely 1
unstable 2
up 4
used 2
using 2
versions 1
very 1
views 1
violent 1
violently 1
violet 1
void 1
vow 1
wakes 1
wanted 1
wants 1
war 5
warns 1
was 17
wasnt 1
watching 2
way 2
were 7
what 4
when 12
where 2
which 4
while 1
white 3
who 4
why 2
will 7
wings 1
wise 1
with 16
without 3
woman 1
women 1
wont 1
world 5
worlds 1
worried 1
would 5
woven 1
wyvern 10
xavier 1
years 2
young 1
zane 1
