3989796
/m/0bbbj5
/m/0bbbj5
John Passarella
2004-05-25
a 4
across 1
and 4
angel 5
apocalypse 1
appears 1
are 1
as 1
assume 1
be 1
because 1
becomes 1
blooddrinking 1
bonding 1
boulevard 1
but 1
by 1
carved 1
characters 1
clear 1
clever 1
connor 4
cordelia 1
could 1
demon 1
demons 1
embarrassed 1
extremists 1
faces 1
father 1
fatherson 1
for 2
fred 1
gunn 1
has 1
have 1
he 1
his 2
hollywood 1
huge 1
hyconian 1
impending 1
include 1
into 1
investigations 1
is 4
it 5
la 1
like 1
lorne 1
massive 1
means 1
might 1
monolith 1
movie 1
newlyreleased 1
news 1
nobody 1
of 2
on 1
other 1
overworked 1
parents 1
publicity 1
rampant 1
religious 1
rock 2
running 1
short 1
sign 1
son 1
soon 1
staff 1
stations 1
stunt 1
suddenly 1
survival 1
that 2
the 4
this 1
time 1
to 2
together 1
tries 1
two 1
understand 2
understands 1
wesley 1
what 1
will 1
wishes 1
work 1
worry 1
