10191858
/m/02q4qp4
/m/02q4qp4
Ralph Salaway

a 15
able 1
accessory 1
adapt 1
after 4
against 1
ago 1
also 1
an 1
and 9
anderson 11
as 4
attachment 1
avoid 1
away 1
bank 2
barely 1
be 1
becomes 2
been 1
being 1
between 1
blond 1
bomb 1
bosses 1
bottle 1
brains 1
broken 1
builds 1
bull 1
but 3
by 2
california 1
captain 2
car 1
cheek 1
circumstancesin 1
city 5
climax 1
coloring 1
completes 1
confidence 1
coolheaded 1
counterstrategy 1
crime 3
death 1
deathunder 1
developed 1
develops 1
disguise 1
dollar 1
domms 2
door 1
driver 1
enforce 1
entirely 1
escapes 1
fades 1
fails 1
father 1
fiery 1
find 1
finds 2
firm 2
flab 1
following 1
for 2
formerly 1
four 2
from 1
fronts 1
full 1
gail 2
generous 1
guard 1
guts 1
hair 1
halfformed 1
hand 1
hands 1
has 8
he 12
head 2
hed 1
heist 1
henna 1
her 1
highspeed 1
him 4
himself 5
his 15
hit 1
hobo 2
implicates 1
in 9
infiltrate 1
interest 1
into 2
investigating 1
is 6
it 2
its 1
just 1
killed 1
late 1
law 1
learns 1
leather 1
left 1
life 1
lifespan 1
list 1
living 1
local 1
losing 1
mac 2
making 1
manages 1
mccarthy 2
melted 1
memory 1
mind 1
mix 1
mob 6
moments 1
more 1
murder 2
murderer 1
muscle 1
name 1
nerve 1
never 1
new 1
next 1
no 2
nose 1
not 2
number 1
of 11
old 1
on 4
one 1
only 2
or 1
out 1
over 1
own 1
pal 1
pale 1
partto 1
payoff 1
plan 2
plays 1
plot 1
pocket 1
police 1
pop 2
promised 1
protect 1
proves 1
quick 1
rails 1
railyard 1
reaches 1
real 1
realizes 2
recognizable 1
red 1
refuge 1
rehearsal 1
rehearsing 1
reputation 1
returns 1
revenge 2
rides 1
rival 1
river 4
rob 1
robbery 1
romantic 1
run 1
runin 1
same 1
save 1
scarcely 1
scarred 1
scenario 1
see 1
seeing 1
sees 1
self 1
signs 1
simple 1
skin 1
soon 2
sought 1
story 1
suddenly 1
sun 1
suspicious 1
swede 1
syndicate 2
tables 1
taken 1
testifying 1
than 1
that 2
the 32
there 1
thing 1
thinks 1
this 1
through 2
to 11
tough 1
town 1
transformation 1
truck 1
trucker 2
trucking 3
turned 2
tyler 3
ultimately 1
unable 1
under 1
union 1
unwilling 1
using 1
walters 2
was 1
what 1
when 2
while 1
whom 1
whose 1
will 1
wins 1
wires 1
with 5
worked 1
worse 1
wreck 1
years 2
