7911644
/m/026jr3w
/m/026jr3w
Kim Edwards
2005
{"/m/05hgj": "Novel"}
16 1
164 1
18 1
a 50
abandoned 1
about 8
accepted 1
accomplished 1
activities 1
address 1
affair 3
after 5
again 1
age 1
aged 1
agency 2
al 6
albert 1
alive 1
all 2
allergic 1
allergy 1
almost 1
also 3
an 16
and 89
angry 1
anniversary 2
announcement 1
another 5
answer 1
apparent 2
applying 1
aptitude 1
are 5
arm 1
around 1
arrested 1
art 1
arts 1
aruba 1
as 11
ask 1
asking 1
asks 2
asleep 1
aspiring 1
assessing 1
assisted 1
at 8
attack 1
attempt 2
attending 1
attends 1
away 2
baby 7
back 2
basketball 1
bathroom 1
battery 1
be 5
becomes 3
becoming 1
bee 1
been 4
bees 1
before 1
begin 1
begins 1
behaving 2
believe 2
betrayed 1
between 5
bids 1
birth 3
blames 1
blizzard 1
board 1
bond 1
born 2
both 5
box 1
boy 2
briefly 2
brilliant 1
brings 1
broken 1
brother 2
build 1
burns 1
but 8
butterflies 1
buying 1
buys 1
by 7
camera 1
cannabis 1
cant 1
car 3
career 1
cares 1
caroline 32
carrying 1
catch 1
caused 2
charged 1
chastised 1
child 6
childhoodthe 1
children 1
chosen 1
claiming 1
claims 1
come 3
comes 1
comment 1
company 1
complications 1
condition 1
conditions 1
confirmed 1
connect 1
contact 1
containing 1
continues 1
contrary 1
conversation 2
couple 1
crashes 1
critic 1
croup 1
cruise 1
daredevil 1
darkroom 3
dating 1
daughter 5
david 35
days 2
death 4
decide 1
decides 4
defect 1
deliver 1
depression 1
devastated 1
development 1
did 1
died 4
dies 2
differing 1
difficult 1
disagreeable 1
disappears 1
discovers 1
distance 3
distract 1
divorced 1
divorcee 1
do 2
does 1
doing 1
done 1
doro 5
dorothy 1
doubting 1
down 5
dr 1
drainage 1
dreaming 1
drinking 1
drinks 1
drive 1
driver 2
driving 1
due 1
during 1
each 1
either 1
elderly 1
even 2
eventually 1
ex 1
excelling 1
experimenting 1
explains 2
failing 1
falling 1
falls 1
family 2
father 3
feeling 1
fill 1
find 2
finds 1
first 3
five 1
fixing 1
follow 1
following 1
for 21
forced 1
forget 1
france 1
fresh 1
from 4
frustrated 1
furious 1
further 2
future 1
get 3
gift 1
gifts 1
gill 1
girl 5
girls 1
giving 1
go 2
goes 1
grave 1
group 2
growing 1
grown 1
guarantee 1
guitar 1
had 4
halfhearted 1
halftruth 1
happy 2
has 19
have 5
having 2
he 23
healthy 2
hearing 1
heart 3
help 1
helps 1
henry 4
henrys 1
her 50
herself 3
hidden 1
high 1
him 11
himself 3
hired 1
his 25
hold 1
home 5
hospital 1
house 3
howard 1
however 3
hurt 2
husband 1
if 1
ignoring 1
immediately 1
immersing 1
in 30
incident 1
including 1
independence 1
individual 1
infant 1
inquires 1
institution 4
interest 2
into 2
introduces 1
invited 1
is 33
it 5
jack 1
job 1
juilliard 2
june 3
keep 1
keeps 1
kentucky 2
kept 2
kitten 1
know 1
knowledgeastonished 1
lack 1
late 1
leak 1
leave 1
leaves 2
leaving 1
leo 3
let 4
lets 1
letter 1
letters 3
letting 1
lexington 1
lies 1
life 2
like 1
live 7
lives 1
living 3
lost 1
lot 1
love 7
lover 1
loves 1
made 1
make 1
makes 2
man 1
march 2
married 2
marrying 1
meanwhile 1
meet 1
memorial 1
mention 1
met 1
might 1
mind 1
moment 1
money 5
more 3
mother 4
move 2
much 2
music 2
musician 1
name 1
named 2
names 2
neighbors 1
neither 1
never 2
new 1
night 4
no 2
norah 22
not 3
notices 2
noticing 1
now 6
nurse 4
oblivious 1
obsession 1
of 25
offers 1
oft 1
old 2
older 1
on 8
one 1
or 2
other 1
out 5
over 1
overhears 1
overprotective 1
own 4
panicking 1
paper 1
parents 3
passive 1
path 1
paul 23
pay 2
perfect 1
petitioning 1
pheobe 2
phoebe 42
photographed 1
photographer 1
photographs 3
physicist 1
piano 1
picked 1
pictures 4
pipe 1
pittsburgh 7
place 1
placed 1
places 1
plagued 1
playing 2
po 1
possibility 1
postnatal 1
poverty 1
prediction 1
pregnant 1
preschool 1
private 1
projects 1
proposed 1
public 1
pushes 1
put 1
rail 1
raise 1
ran 1
rapidly 1
rather 1
reading 1
realises 1
realize 1
realizes 1
really 1
recalling 1
red 1
refuse 1
refuses 1
regularly 2
relationship 1
relieve 1
remain 1
remembering 1
replacing 1
rescuing 1
retired 1
retreats 1
returns 1
right 1
robert 1
room 1
rosemary 4
runs 1
satisfied 1
saved 1
says 3
scared 1
school 3
second 1
secret 1
secretly 1
see 1
seeks 1
seems 1
sends 3
sent 1
separate 1
severe 1
sexual 1
she 24
shelter 1
shoplifting 1
should 2
show 1
shows 1
simply 1
simpson 1
since 1
singing 2
sister 2
sixyearold 1
slow 1
slowly 1
small 1
snakes 1
snow 1
society 1
son 3
sorts 1
spare 1
spend 1
stability 1
start 1
staying 2
steals 1
steamy 1
steps 1
still 4
stop 1
store 1
stranded 1
struggles 1
studying 1
stung 1
success 1
such 1
suffering 1
supplies 1
surviving 1
sustains 1
syndrome 3
take 2
taken 1
takes 1
talk 2
task 1
teenager 1
telling 1
tells 3
than 1
that 17
the 47
their 5
them 3
then 7
there 2
they 4
thinking 1
thinks 2
thirteen 1
this 3
those 1
though 1
through 3
throwing 1
throws 1
time 3
timeconsuming 1
times 1
to 64
too 3
tour 1
trace 1
tracks 1
travel 2
traveling 1
treating 1
tree 1
truck 3
trust 1
truth 1
turned 1
turns 2
twelve 1
twice 1
twin 2
twins 1
understands 2
unknowingly 1
unusual 1
up 6
upset 1
upside 1
used 1
vacation 1
views 1
visibly 1
visit 2
visiting 1
visits 2
wakes 1
walking 1
wanted 1
wants 4
was 1
water 1
way 4
wedding 1
well 2
what 3
when 6
where 3
whereabouts 1
which 2
while 5
whilst 1
who 6
whose 1
wife 2
will 2
window 1
with 27
without 2
woman 1
women 1
work 3
working 1
worried 1
worries 1
would 1
wretched 1
yearlong 1
years 3
yes 1
young 1
younger 1
