1990837
/m/06cd1k
/m/06cd1k
Anita Shreve
1997-01-01
1873 2
1thcentury 1
a 9
about 2
adaline 2
affair 1
after 1
alcoholism 1
along 1
among 1
an 2
and 8
anethe 1
argued 1
as 1
awardwinning 1
becomes 1
been 2
begins 1
between 1
boat 1
brother 1
brought 1
brutally 1
by 2
cave 1
century 1
christensen 2
circumstantial 1
coast 1
conviction 1
could 1
daughter 1
dawn 1
day 1
desolate 1
details 1
discovering 1
done 1
emotions 1
essay 1
evidence 1
first 1
fiveyearold 1
for 1
from 2
girlfriend 1
gradually 1
group 1
hampshire 1
hanged 1
has 3
have 2
he 1
her 3
hiding 1
his 2
hontvedt 1
hoping 1
husband 1
immersed 1
in 6
increase 1
into 1
is 2
island 1
isles 2
it 1
janes 1
jean 4
karen 1
later 1
library 1
lived 1
louis 1
magazine 1
maine 1
man 1
march 1
maren 3
memoir 2
more 1
mostly 1
much 1
murdered 2
murders 3
named 1
new 1
norwegianborn 1
not 2
novel 1
of 8
off 1
older 1
on 5
one 2
parts 1
people 1
person 1
photo 1
photographer 1
poet 1
point 2
present 2
purported 1
returns 1
rich 1
sea 1
shoals 1
sister 2
sisterinlaw 1
skippered 1
sloop 1
small 1
smuttynose 1
some 1
split 1
struggling 1
surfacing 1
survived 1
suspect 1
tense 1
tensions 1
than 1
the 15
their 2
they 1
think 1
thomas 4
to 3
told 2
travel 1
tried 1
two 2
unspoken 1
until 1
vacation 1
victims 1
view 2
wagner 1
was 1
were 2
who 3
with 3
women 2
working 1
writing 1
