18748329
/m/04glflw
/m/04glflw
John Jakes
1975
{"/m/02p0szs": "Historical fiction", "/m/0hwxm": "Historical novel"}
17 1
1775 1
1776 1
1777 1
1778 1
3 1
a 22
abducted 1
aboard 1
abraham 1
absorbed 1
accusation 1
act 2
affair 1
after 7
afterwards 1
again 1
aiding 1
alice 1
alicia 2
alicias 1
almost 1
american 1
americans 1
an 1
and 19
anne 6
annes 1
army 3
as 1
ashford 1
at 3
attending 1
august 1
away 1
back 1
ball 1
battle 3
be 1
beat 1
because 1
become 1
been 1
before 2
began 1
begin 1
begins 1
birth 1
black 1
boat 1
both 1
brandywine 1
british 2
brother 2
bunker 1
but 5
by 5
called 1
camped 1
cannons 1
capital 1
captured 2
caught 1
caused 1
challenged 1
chance 1
child 1
childhood 1
clark 7
committed 1
congress 2
continental 1
could 1
courted 1
daughter 1
day 3
de 1
dead 1
debate 1
defense 1
delegate 1
delegation 2
designated 1
detachment 1
devastating 1
died 1
disappearance 1
disgruntled 1
dismissed 1
donald 1
drowning 1
drunkard 1
drunken 1
drunkenness 2
due 1
duel 3
during 3
duty 1
elizabeth 1
encounter 1
enlisted 1
ensuing 1
event 1
expedition 1
expelled 1
expulsion 1
father 5
firm 1
first 1
fletcher 1
for 6
former 1
fort 1
fought 1
found 1
france 1
freedom 1
friend 3
from 8
fulfill 1
gave 1
george 2
gil 2
gout 1
great 1
had 9
he 18
henry 1
her 16
herself 1
high 1
hill 3
him 7
his 20
home 3
hopes 1
house 1
husband 1
in 20
include 1
informed 1
inherited 1
instead 1
interim 1
introduced 1
invested 3
investment 1
it 3
judson 13
judsons 1
july 1
june 1
kent 3
kents 1
killed 3
knox 1
lafayette 1
large 1
late 1
later 2
lee 1
left 2
leg 1
letter 1
life 1
lived 2
lottie 2
lover 1
made 1
major 1
malachi 1
marquis 1
marriage 2
mclean 4
meanwhile 2
meet 1
meeting 1
member 1
men 1
met 1
military 1
missed 2
mission 1
money 3
monmouth 1
move 1
mustered 1
named 1
next 1
northern 1
northwest 1
not 1
now 2
of 19
off 1
old 1
on 7
once 2
one 3
opposed 1
orders 1
out 2
overboard 1
overtures 1
own 1
owned 1
parkhurst 1
participated 3
participates 1
peggy 4
philadelphia 2
philip 9
pittsburgh 1
place 2
plantation 1
prevented 1
privateer 2
privateers 2
produce 1
property 1
provided 1
publishing 1
pursued 1
put 1
rackham 2
rage 1
raped 3
rappahannock 1
rebellion 1
recently 1
recovered 1
recruiting 1
refused 1
rejected 1
rendezvous 1
repeatedly 1
resolution 2
returned 3
returning 1
reunited 2
river 1
rode 1
rogers 1
scheduled 1
scuffle 1
seas 1
second 2
september 1
sermon 2
set 1
seth 2
shaw 1
she 3
ship 1
shortly 1
shot 2
slaves 2
so 1
son 2
soon 1
spy 2
stead 1
stealing 1
still 1
story 1
struggle 1
suffered 1
suicide 1
take 1
taken 1
territory 1
that 4
the 37
then 3
therefore 1
they 2
this 1
though 1
thrown 1
ticonderoga 1
time 1
to 20
tobacco 1
tobias 1
told 1
took 2
towards 1
transport 1
tried 1
trumball 3
unable 1
unbeknownst 1
uncle 1
utilised 1
vessel 1
violence 1
virginia 5
visited 1
vote 1
ware 1
was 14
washingtons 1
way 1
were 2
when 4
which 7
while 2
white 1
who 5
whom 3
widow 1
wife 2
with 12
womanizer 1
would 2
wounded 1
wounds 1
year 2
