13060654
/m/02z4_4g
/m/02z4_4g
Gregory Maguire
2008-10-14
a 29
abandoned 1
about 1
advice 1
affairs 1
after 3
again 3
aimlessly 1
alive 2
all 4
an 4
and 31
animals 3
announces 1
apartment 1
ape 1
around 2
arrive 1
arriving 1
as 4
assess 1
assigned 1
at 5
attempting 1
awakened 1
bachelors 1
back 2
background 1
badge 2
banks 2
battle 1
be 2
bear 2
bears 1
become 1
becomes 1
been 1
before 3
befriends 1
begin 1
begins 1
being 2
beings 1
belief 1
beside 1
between 1
boar 1
book 1
books 2
boss 1
break 1
bring 1
bringing 1
broker 1
brrr 31
bury 1
but 11
by 6
bypass 1
calls 1
candle 1
candles 1
cant 2
captured 1
caretaker 1
cat 1
catch 1
caught 1
celebrate 1
center 1
chief 1
chieftaincy 1
chopper 1
city 2
claim 1
claiming 1
clock 2
cloud 1
collaborationist 1
conversed 1
courage 2
coward 1
cowardly 1
crosses 1
crowds 1
crypt 2
cub 1
cubbins 3
current 1
day 1
dead 1
death 1
deceased 1
decides 2
dedicated 1
demands 1
despite 1
dies 2
discover 1
discovered 1
discuss 1
do 1
doesnt 1
dorothy 5
dragon 1
due 1
dwarf 1
east 1
ec 1
elphaba 4
elsewhere 1
embarrassed 1
emerald 2
encounters 1
enemies 1
epicenter 1
even 1
events 2
eventually 1
exchange 1
eyesight 1
fallows 1
falls 1
family 1
fatal 1
father 1
fear 1
feeling 1
few 1
find 3
finds 5
first 4
five 1
following 1
for 14
force 1
forced 1
forces 1
forest 5
forgotten 1
free 1
friend 1
from 5
game 1
get 3
gets 2
getting 1
ghostlike 1
ghullim 2
gillikin 2
girl 1
give 1
glass 1
glikkun 1
glikkuns 2
go 5
goes 2
got 1
great 2
grew 1
grimmerie 1
group 2
haekeem 2
happily 1
has 3
have 3
having 1
he 19
head 1
hed 1
heir 1
held 1
hell 2
help 3
her 6
him 10
himself 5
his 14
hit 1
hotbed 1
however 1
humiliating 1
hunters 1
hunting 1
if 1
impending 1
implores 1
in 18
information 1
inhabited 1
instead 3
interview 2
into 2
involved 1
is 6
isnt 1
it 4
ivory 2
jemmsy 7
kiamo 1
kill 1
kind 1
knowing 2
ko 1
land 2
language 1
late 1
laughing 1
leads 1
learning 1
leave 3
leaves 3
left 1
lenx 1
lie 1
liir 5
like 1
lion 7
lions 3
little 1
lives 3
locks 1
long 1
longs 1
look 1
looking 1
losing 1
love 1
lovemaking 1
madame 1
make 1
manufactured 1
market 1
massacre 1
mating 1
mauntery 2
maunts 2
medal 1
meet 1
meets 3
members 1
middle 1
mikko 1
mister 1
mock 1
money 3
more 1
morrible 1
mr 1
muhlama 2
munchkinland 1
munchkinlanders 1
must 1
naive 1
name 1
named 1
next 1
nick 1
nicknamed 1
northern 1
not 3
nothing 1
of 31
off 1
old 1
on 5
once 2
one 3
only 3
opens 1
or 1
other 2
out 7
outback 1
outside 1
own 3
oz 5
ozmists 2
packs 1
parents 1
part 1
party 1
pass 1
past 1
path 2
people 1
person 1
personage 1
pet 1
pile 1
play 1
plea 1
poem 1
precede 1
pride 1
princess 1
professor 1
promises 1
prompting 2
protect 1
queen 1
quest 1
really 1
reason 1
recaps 1
refusal 1
refusing 1
regime 1
relatives 1
remember 1
reputation 1
request 1
retrieve 1
retrieving 1
reveals 1
rewards 1
right 1
rile 1
rises 1
room 1
rule 1
safely 1
scarecrow 1
scouts 1
seriously 1
sets 2
several 1
shadowpuppet 1
shame 1
she 6
shiz 2
since 2
slaughter 1
so 1
soldier 1
some 4
soon 10
spends 1
state 1
status 1
stay 1
stays 1
still 2
stopping 1
story 1
strange 1
streak 1
streets 1
strikes 1
supposed 1
suspects 1
swamp 1
take 1
takes 1
taking 1
tell 1
tells 2
tenniken 6
terribly 1
terrified 1
than 1
that 16
the 76
their 6
them 3
themselves 1
then 2
there 2
they 8
theyre 2
thinks 1
this 2
threat 1
three 1
through 3
thus 1
thwart 1
tiger 1
tigers 1
time 4
tin 1
to 34
too 1
town 2
train 2
trap 1
traum 3
travel 2
travelers 1
tribe 1
trolls 2
troops 1
trophy 1
try 1
trying 1
two 1
ultimately 2
under 1
unhappy 1
university 1
until 3
up 5
ursaless 1
uyodor 1
vanishes 1
vanquished 1
ventures 1
wanders 2
wanted 1
wants 1
was 3
way 1
weeks 1
wend 1
were 1
west 1
wet 1
what 2
when 2
where 2
whereabouts 1
which 1
while 5
who 1
whom 1
wicked 1
wilderness 1
will 1
wine 1
witch 1
with 14
within 1
without 1
wits 1
wizard 2
woman 1
woodman 1
woods 1
wounded 1
yackle 7
years 1
young 1
