11595124
/m/02rkyz2
/m/02rkyz2
Alice Sebold
2007
a 4
absentmindedly 1
act 1
agoraphobic 1
almost 1
also 1
an 1
and 4
artist 1
as 1
at 1
brought 1
buried 1
but 1
by 1
childhood 1
choices 1
conceal 1
confronts 1
conspiracy 1
crime 1
crossroads 1
dementia 1
desire 1
desperately 1
divorcee 1
doing 1
exhusband 1
from 1
fulfilment 1
had 1
have 1
helen 2
her 10
hours 1
in 2
into 1
is 1
it 1
knightly 1
life 1
lifetime 1
like 1
longcherished 1
love 1
marriage 1
model 1
mother 3
motherhood 1
murders 1
next 1
none 1
now 1
of 2
omnipresent 1
over 1
partly 2
recalls 1
relationship 1
ropes 1
rush 1
seems 1
severe 1
she 3
since 1
so 1
spare 1
spent 1
spontaneously 1
suffering 1
suffocating 1
that 2
the 6
to 4
towel 1
tries 1
trying 1
twentyfour 1
unconscious 1
while 1
who 1
win 1
with 2
youth 1
