23266533
/m/02nq7xl
/m/02nq7xl
Simon Scarrow
2005-05-23
{"/m/02p0szs": "Historical fiction", "/m/0hwxm": "Historical novel"}
44 1
a 1
ad 1
against 1
allows 1
and 4
are 2
at 1
avoid 1
battle 1
britain 1
british 1
britons 2
by 1
campaign 1
capture 1
caratacus 1
cato 2
centurion 1
complete 1
crucial 1
during 2
empire 1
enemy 1
escape 1
forced 1
from 1
great 1
hiding 1
his 2
however 1
in 2
including 1
into 1
invasion 1
is 1
juncture 1
leader 1
legions 1
loses 1
macro 1
maximius 1
men 1
mission 1
nerve 1
novel 1
of 2
pressure 1
retribution 1
roman 2
second 1
set 1
superior 1
the 8
their 2
this 1
to 3
tribes 1
under 1
year 1
