5160255
/m/0d5lhm
/m/0d5lhm
Tamora Pierce
1992-12-01
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 13
able 1
about 2
accidentally 1
advantages 1
after 6
again 1
ago 1
alanna 2
all 1
allow 1
along 1
also 1
an 1
and 21
angry 1
animals 2
are 4
around 1
as 6
assistant 1
attack 1
attacked 2
away 2
back 1
badger 2
bandits 1
battle 1
be 1
becomes 1
been 2
begins 1
being 2
beings 1
birds 1
blackrobe 1
book 1
bring 1
by 6
called 1
calling 1
can 1
capital 1
carnivorous 1
carthak 1
certain 1
charge 2
chase 1
claw 1
close 1
cloud 1
confession 1
contact 1
continues 1
convince 1
corus 1
country 1
creatures 1
daine 6
dainie 1
dangers 1
dead 1
defeats 1
depth 1
despite 2
died 1
discovers 1
dolphins 1
dragonet 2
during 1
enacts 1
end 1
evin 1
faces 1
fact 1
family 2
far 1
father 1
feast 1
few 1
finds 1
flamewing 1
fled 1
floor 1
for 2
frequently 1
friends 2
from 4
galla 1
girl 1
gives 1
god 2
goes 1
griffins 1
group 2
had 3
happening 1
harass 1
has 1
have 1
hawk 1
he 2
heads 1
heal 1
hear 1
heart 1
hed 1
help 4
her 25
herself 1
him 2
hired 1
home 1
hone 1
horsemistress 1
horses 1
how 1
huge 1
human 3
humanity 1
immortals 5
in 6
including 1
into 1
introduced 1
is 5
it 1
its 1
joined 1
journey 1
kill 2
killed 1
kills 1
kitten 1
kraken 1
later 1
learn 1
learning 1
learns 2
left 1
like 1
locked 1
look 1
lose 1
lost 1
mage 1
mages 1
magic 1
male 1
manages 1
maren 1
meets 1
metallic 1
mind 2
miri 1
monsters 1
more 1
most 1
mother 1
much 1
murder 1
mystical 1
name 1
nearly 2
neck 1
neighboring 1
new 1
nicknames 1
not 2
numair 4
ocean 1
of 20
old 1
on 2
once 1
one 1
onua 3
order 1
orders 1
out 3
own 1
pack 1
people 1
pet 1
pirate 3
pirates 1
plagued 1
ponies 1
pony 1
power 1
powerful 1
powers 3
promised 1
queen 2
raises 1
reaching 1
reader 1
real 1
realized 1
regained 1
relieved 1
rescues 1
ride 1
rider 1
riders 1
salmalin 1
sanity 1
save 1
saves 1
scanra 1
several 1
she 14
skysong 1
snowsdale 1
so 2
soon 1
speak 1
spell 1
spent 1
spiders 1
spidrens 1
still 1
stopping 1
stormwings 1
strange 1
such 2
supposed 1
swoop 3
talk 1
teacher 1
teaching 1
tells 2
that 8
the 31
them 2
then 1
these 1
they 2
thirteen 1
time 1
to 19
tortall 4
towards 1
townspeople 1
trainees 1
trebond 1
tried 1
true 1
turns 3
tusaine 1
tyra 1
under 1
up 1
upon 1
using 1
veraldaine 1
very 1
visited 1
warriors 1
was 1
way 1
wear 1
well 1
were 1
what 1
which 2
who 7
whose 1
wild 2
will 2
with 6
wolves 2
woman 1
world 1
year 1
years 1
