16250549
/m/03wf0ps
/m/03wf0ps
Sue Grafton
1986
17 1
2 1
a 14
about 2
accident 4
accidentally 1
address 1
affair 1
after 2
alphabet 1
also 1
an 5
and 12
anorexia 1
another 1
answers 1
any 1
anything 1
architect 1
are 2
assistant 1
at 8
attempt 2
b 1
be 2
because 2
before 4
being 1
bitter 1
blackmail 1
blackmailed 1
blackmailer 2
blackman 2
blame 1
bobby 21
body 1
book 1
burglar 1
but 4
by 1
call 1
callahan 1
called 2
cant 2
car 4
case 1
code 1
come 1
concealed 1
confesses 1
convinced 2
corpse 2
cosh 1
costigan 1
could 1
counselling 1
crash 1
current 1
cut 1
danger 1
daughter 1
days 1
death 2
derek 2
despite 1
details 1
died 1
dies 1
disabling 1
discovered 2
do 1
dollars 1
downside 1
dr 1
druguser 1
during 1
dwight 1
dysfunctional 1
else 1
elsewhere 1
end 1
ended 1
escapes 1
even 1
eventually 1
expense 1
explain 1
family 1
feeling 1
few 1
finds 3
fingerprints 1
first 2
for 7
former 1
found 1
fraker 5
friend 3
from 2
girlfriend 1
gives 2
glen 3
gun 2
gym 2
had 2
has 5
have 1
having 1
he 9
heiress 1
help 1
her 7
herself 1
him 2
hires 1
his 9
home 1
hospital 4
however 3
husband 2
ill 1
in 7
information 1
inherit 1
injection 1
injuries 2
installment 1
insured 1
intruder 1
investigate 1
involved 1
involving 1
is 14
it 5
just 1
kill 1
killed 1
killer 2
kinsey 10
kitty 2
knowledge 1
knows 1
lain 1
large 1
later 1
lies 1
life 2
liking 1
lines 1
loss 1
lost 1
manages 1
marriage 1
may 1
medical 1
meets 1
memory 1
might 1
million 1
months 1
more 1
morgue 2
mother 2
motive 1
murder 1
mysteries 1
nearly 1
nine 1
no 1
nola 4
of 8
off 1
old 1
on 7
out 4
own 1
parents 1
pathologist 1
people 1
personal 1
phone 1
police 1
possible 1
problem 1
prospects 1
put 1
realises 2
recentlymurdered 1
rehabilitating 1
relationship 1
remember 1
result 1
rich 1
rick 3
rigged 1
road 2
school 1
seeking 2
series 1
seriously 1
several 1
she 8
shot 1
shows 1
so 1
solution 1
someone 4
son 1
spared 1
stands 1
still 2
struggle 1
struggling 1
successful 1
sum 1
supposed 1
surrounding 1
suspects 2
sustained 1
takes 1
tells 1
terms 1
than 1
that 11
the 35
their 3
then 1
there 1
they 1
thinks 3
third 2
this 2
to 14
too 1
track 2
trail 1
traps 1
treatment 1
true 1
trying 1
turns 1
twentythreeyearold 1
unclaimed 1
unidentified 1
up 1
vague 1
very 1
wants 1
was 11
wellknown 1
wenner 1
went 1
what 2
when 2
where 1
which 5
while 1
who 4
whom 1
whose 1
why 1
will 1
with 8
without 1
woman 2
working 2
year 1
years 2
