71480
/m/0jds8
/m/0jds8
Iain Banks
1993
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 8
acquiring 1
across 1
adventures 1
against 3
air 1
also 1
an 4
and 6
another 1
apart 1
as 1
assassin 1
at 1
background 2
before 2
beliefs 1
book 1
by 4
can 1
city 1
concerns 1
cult 1
dark 2
deactivate 1
defense 1
destroyed 4
destructed 1
devastated 1
disappeared 1
discovered 1
during 1
eight 1
eighth 1
elaborate 1
electron 1
encounters 1
events 2
eventually 1
explosion 1
final 1
find 1
fire 1
fired 1
for 2
found 1
gang 1
genetic 1
give 1
golter 1
guarded 1
gun 2
guns 1
has 1
he 1
her 4
hold 1
hovercraft 1
huhsz 1
hunt 1
if 1
in 2
incorporating 1
investigators 2
is 4
it 9
its 2
key 1
lady 1
lapse 1
last 1
lazy 3
lenses 1
local 1
located 1
looking 1
lucky 1
main 1
meets 1
mercenaries 1
microscope 1
motivation 1
much 1
novel 1
object 1
of 6
on 2
one 2
original 1
philosophical 1
pirate 1
plot 1
political 1
raid 1
regard 1
religious 1
resulting 1
sacred 1
searching 1
self 1
seven 1
seventh 1
sharrow 4
she 2
sixth 1
sold 1
solipsists 1
strike 1
suffered 1
sun 1
system 1
systems 1
take 1
tampered 1
team 1
that 2
the 18
their 1
them 2
theme 1
they 1
through 1
to 5
travels 1
tried 2
two 1
university 2
unusual 1
user 1
various 1
vendetta 1
very 1
was 5
were 1
when 5
which 1
who 1
will 1
with 3
