27378946
/m/0bxzykf
/m/0bxzykf
Christopher Mahoney
2009

10yearold 1
11yearold 1
5footlong 1
5footwide 1
a 21
abandon 1
academy 1
adventures 1
again 1
aid 2
air 1
airstriders 1
airstryders 1
aitken 1
all 3
almost 1
also 2
although 1
an 6
and 22
angelina 2
anything 1
appears 1
aptitude 1
are 3
around 1
as 4
asleep 1
assembled 1
attack 1
attempting 1
aware 1
away 1
base 5
baseball 1
been 1
before 2
begin 1
behemoth 1
behind 1
being 1
believe 2
black 2
book 1
bother 1
bots 1
bound 1
building 1
built 1
bullies 1
bursts 1
but 5
by 8
called 2
can 2
captured 1
caught 1
cavern 1
cerebrally 1
chance 1
chase 3
children 1
choice 1
citadel 1
climbs 1
colonization 2
colonizing 1
colony 1
comes 1
commander 2
concludes 1
concocted 1
confines 1
confucius 1
construction 2
content 1
covers 1
cracked 1
crater 1
create 1
created 1
crew 3
cube 2
dark 1
destroy 1
destroying 1
disappears 1
discover 3
do 1
does 1
doesnt 2
door 1
dozers 1
dr 2
dreamer 1
drive 1
drops 1
ducts 1
each 1
early 2
earth 1
educational 1
efforts 1
either 1
elects 1
embedded 1
emerges 1
engineering 1
enlisting 1
entire 1
executive 1
explains 1
fairly 1
fall 1
falls 1
few 1
field 1
files 1
find 1
finish 1
first 1
fitted 1
foiling 1
follows 1
for 5
force 1
forces 1
fourseat 1
free 1
freeing 1
friends 1
from 2
fyodor 2
gets 1
giants 1
gifted 1
glass 1
go 1
goodnight 1
goodspeed 8
grandfather 3
group 1
grow 2
guard 1
harnessed 1
has 5
have 4
he 8
her 1
hidden 1
hiding 1
him 3
himself 1
his 19
home 4
hope 1
horizon 1
hour 1
house 3
how 1
however 3
human 1
humanity 1
ian 1
imagination 1
impressive 1
in 18
inaugurate 1
infrastructure 1
innocuous 1
institution 1
insurgents 1
intact 1
intellectually 1
intentions 1
into 7
introduced 1
introduces 1
invented 1
inventions 2
irate 1
is 12
it 5
jeopardy 1
jets 1
just 3
kid 1
kind 1
labyrinthine 1
lair 1
landed 1
late 1
later 3
launches 1
league 1
learn 1
leaving 1
led 1
leviathans 1
life 3
like 1
loads 1
lumbering 1
lunar 1
machvel 10
mad 1
main 1
make 1
many 1
massive 1
max 7
maximillian 1
may 1
means 1
meanwhile 1
mech 3
mechs 1
memo 1
miniature 2
minions 1
moon 5
most 2
mother 1
must 1
named 2
neighbor 1
new 1
next 1
no 2
normal 1
notsonormal 1
of 25
off 2
officer 3
on 6
once 1
one 1
onyx 16
opening 1
or 1
orphan 2
other 1
out 4
over 1
overhead 1
overhear 1
own 1
parents 1
passage 1
past 1
permanent 3
pilfered 1
piloting 1
pioneer 6
plan 1
planning 1
plot 1
plunges 1
post 1
power 3
powered 1
prepping 1
presence 1
primary 1
professor 9
pyramid 2
quarters 1
quickly 1
race 2
rather 1
reach 1
real 1
rebellious 1
refuse 1
rely 1
remaining 1
repopulate 1
return 1
returns 2
reveals 2
rising 1
risks 1
robots 1
rocket 6
room 1
run 1
runs 1
sabotage 1
sanjay 3
save 1
saved 1
screaming 1
search 1
seconds 1
secret 2
see 1
selfsustaining 1
send 1
series 1
serve 1
settlement 1
shape 1
she 4
ship 2
ships 2
shoot 1
shows 1
side 1
silhouette 1
silo 2
silvery 1
simulator 1
slowly 1
small 1
so 2
some 2
son 1
soon 5
sooner 1
source 1
spaceship 1
specially 1
species 1
spies 2
spire 1
split 1
stay 1
steal 1
stealing 1
story 1
stowaway 1
struggles 1
stumble 1
subject 1
succeed 1
such 1
sun 9
support 2
surface 2
survivors 1
systems 1
takes 2
tale 1
tall 1
teach 1
team 1
tells 1
than 2
thankful 2
that 6
the 77
their 6
them 3
these 2
they 9
thrown 1
thunders 1
time 2
to 20
too 1
took 1
toward 1
tower 1
towering 1
travel 1
trio 2
truthfully 1
tutelage 1
two 4
ultimate 1
under 3
underground 1
unlimited 2
unlocks 1
up 3
uploaded 1
upon 1
usually 1
usurpers 1
vacated 2
vain 1
version 1
versions 1
wakes 1
watchful 1
watching 1
weapon 1
whatever 1
when 2
where 5
while 1
whip 1
who 3
wild 1
will 1
wipe 2
wishes 1
with 5
without 1
witness 1
woods 2
worth 1
would 1
year 1
zack 19
