5003381
/m/0czcqv
/m/0czcqv
Lindsey Davis
1996-06-06
{"/m/0lsxr": "Crime Fiction"}
a 14
about 1
accident 2
act 1
aelia 1
aelianus 1
after 1
against 1
alive 1
all 3
alone 2
also 3
among 1
an 6
anacrites 4
and 26
annaea 1
another 2
any 1
anyone 2
appear 2
appearing 1
appears 1
are 2
as 2
asked 1
asks 1
assault 1
assaulted 1
assignment 1
at 5
attack 1
attempt 1
attractus 4
baetica 3
baeticans 2
band 1
be 3
because 1
becomes 1
been 1
before 3
being 2
big 2
birth 2
blow 1
bluff 1
breaks 1
bringing 1
brother 3
burst 1
business 2
but 8
by 2
camillus 1
can 1
cartel 2
catch 3
catches 2
cause 1
causing 1
charge 1
chase 1
chief 2
child 1
claiming 1
classic 1
claudia 2
claudias 2
claudius 1
clear 1
clerk 1
coffers 1
companion 1
concluding 1
connection 1
constans 4
control 2
controlling 1
convinced 2
corner 2
cornering 1
cost 1
could 1
couple 2
cross 1
dancer 4
dancing 1
daughters 1
dead 2
death 4
decides 1
descends 1
did 1
died 2
dies 1
dinner 4
discovers 2
do 1
does 3
doing 1
double 1
down 1
dream 1
drum 1
east 1
elegant 1
else 3
emperor 1
enough 2
escape 1
estate 2
estates 1
evening 1
excuse 1
experts 1
fails 1
falco 26
falcos 1
fall 1
falls 2
fatal 1
fatally 1
father 1
fearful 1
festivities 1
final 1
finally 2
find 2
finds 2
fingers 1
following 1
food 1
for 4
force 1
found 1
friendly 1
from 1
garum 1
gets 1
girl 2
go 1
goes 1
gone 1
guard 2
guest 1
guests 3
had 1
happens 1
has 4
have 3
he 17
helena 8
help 1
her 5
him 4
hints 1
his 10
hispania 1
hispanias 1
home 1
hope 1
hopes 1
horse 1
host 1
house 2
how 1
human 1
idea 1
if 3
ignoring 1
immediately 1
impression 1
in 10
including 1
indeed 2
influence 1
information 1
initial 1
injured 1
injury 1
instead 1
interest 1
interviews 1
into 1
investigate 2
investigation 1
invited 1
is 26
it 11
item 1
its 3
job 1
just 3
justina 1
keep 1
keeps 1
kill 1
killer 1
killings 1
kills 1
know 1
knows 2
ladder 1
laeta 8
land 1
largest 1
last 1
late 1
learns 2
least 2
legitimacy 1
local 2
look 1
looking 1
loose 1
made 1
magnates 1
make 2
makes 1
manages 1
market 3
massive 1
mean 1
medical 1
memorable 1
millions 1
mines 1
more 2
mother 1
mothers 1
move 1
moves 1
moving 1
much 4
nearly 1
needs 1
new 2
no 2
not 8
now 5
nursed 1
obvious 1
of 28
off 1
oil 6
olive 7
on 11
one 6
only 2
or 1
other 1
out 1
over 3
own 1
owns 1
part 2
party 1
perella 2
perfect 1
pesky 1
piece 1
place 1
plan 1
plot 1
possible 1
pouring 1
praetorian 1
pregnant 1
press 1
price 1
producers 1
producing 1
product 1
production 2
promptly 1
prove 1
putting 1
quadratus 9
quaestor 1
quantities 1
quinctii 2
quinctius 3
real 1
realizes 1
recover 1
region 1
regret 1
request 1
returned 1
reveals 1
rides 1
rival 1
rome 1
romes 1
roof 1
rufina 2
rushes 1
safe 1
saw 1
search 1
see 1
seeing 1
selia 3
sends 1
sent 1
serving 1
set 1
share 1
she 5
show 1
site 1
slips 1
small 1
so 2
society 1
solo 1
solve 1
some 4
someone 3
something 1
son 1
sons 1
soon 3
spanish 1
spy 2
start 1
stave 1
still 6
stone 1
stop 1
strikes 1
survives 1
surviving 1
suspect 1
suspects 1
suspicion 1
suspicions 1
take 2
that 15
the 56
their 1
then 1
there 6
they 3
thing 1
things 1
this 3
thought 1
threat 1
through 1
throwing 1
time 1
to 38
together 1
too 2
top 1
track 1
tries 2
trusting 1
trying 2
turns 1
two 2
up 8
verus 1
very 2
vespasian 2
vespasians 1
victim 1
visiting 1
want 1
wants 1
was 7
way 1
well 2
were 1
when 4
where 1
while 2
who 4
will 4
with 7
wonder 1
working 1
yet 1
