11569590
/m/02rjhxl
/m/02rjhxl
Peter Robinson
1997
a 13
afterhours 1
alan 1
albion 2
alley 1
also 2
amsterdam 1
an 2
and 7
appear 1
appearances 1
approach 1
are 1
as 3
at 2
banks 6
battle 1
because 1
been 1
between 1
bizarre 1
bottle 1
brewing 1
business 1
but 1
case 1
challenge 1
chief 2
come 1
comes 1
concerned 1
constable 2
cost 1
cutanddried 1
cybernazis 1
dc 1
death 2
detective 2
detectives 1
discovers 1
earlier 1
eastvale 2
energetic 1
even 1
everything 1
face 1
favours 1
fellow 1
fight 1
finally 1
finds 1
first 1
follows 1
footballmad 1
for 1
found 1
fox 1
friends 1
gay 1
go 1
gone 1
good 1
growing 1
had 1
handson 1
has 1
have 1
he 3
head 3
herself 1
highflyer 1
him 1
his 5
in 5
influence 1
inspector 1
insulted 1
internet 1
introduced 1
investigation 1
is 5
it 2
its 1
itself 1
jason 3
jasons 3
jeremiah 1
jimmy 1
job 2
jobbright 1
just 1
kicked 1
known 1
leads 1
league 2
learn 1
learnbut 1
let 1
like 1
looks 1
mark 1
member 1
might 1
more 2
mysteriously 1
mystery 1
night 1
number 1
of 6
office 1
on 3
or 1
organization 1
over 1
own 1
pakistani 1
partner 1
possible 1
power 2
problems 1
pub 2
puzzling 1
quick 1
quickly 1
racist 1
rainy 1
relationship 1
resented 1
riddle 1
sandra 1
seems 2
shady 1
sinister 1
smashed 1
solve 1
some 1
someone 2
something 2
struggle 1
summoned 1
surprising 1
susan 2
suspects 1
takes 1
teenager 1
tensions 1
terribly 1
than 2
that 4
the 14
their 1
then 1
they 2
things 1
time 1
to 8
truth 1
turns 1
twist 1
typical 1
up 1
very 1
victim 1
views 1
was 3
when 2
where 1
white 1
who 3
wife 1
with 6
wood 1
working 1
world 1
wrong 1
youths 1
