17799196
/m/047bwhb
/m/047bwhb
Dan Abnett
2008
{"/m/014dfn": "Speculative fiction"}
180 3
200 1
2088 1
a 49
ability 2
about 4
act 1
actual 1
admitted 1
adventure 2
advised 1
after 12
again 6
against 1
agelaos 5
agrees 1
aid 1
air 2
alien 4
alive 1
all 4
almost 1
alone 3
along 3
alongside 1
already 1
also 2
always 2
amazement 1
amazing 1
amount 1
amtorian 1
amtorians 1
an 13
and 63
another 3
any 2
anything 1
apparently 1
appearing 1
appears 1
approaches 1
april 1
arctic 1
are 7
arm 1
armed 3
around 4
arrive 1
arrives 1
artificial 5
artificials 5
as 31
asked 1
asking 1
asks 3
assures 1
at 2
atmospheric 1
attacking 1
averting 1
awake 3
awakes 1
away 3
back 4
balance 1
balloon 4
bar 1
be 10
beacon 1
beast 1
because 4
become 1
becomes 1
becoming 3
been 10
before 1
begin 2
beginning 2
begins 3
behind 1
being 5
believe 1
believes 2
below 1
benefactors 2
between 3
beyond 1
big 1
board 2
bones 2
book 3
both 1
breaks 1
breathing 2
breed 8
breeds 1
brilliance 1
brilliant 1
britain 1
broadcast 1
broke 1
broken 1
bruyere 1
but 8
by 10
called 2
calls 1
camp 3
can 4
captured 1
cargo 1
catches 1
caught 2
causes 1
cease 1
centre 4
changed 1
checks 1
child 2
childhood 1
chip 5
choice 1
choking 1
cineraria 5
circuit 1
clash 1
classed 1
clones 1
collision 1
colonise 1
colonist 2
colonists 4
come 1
comes 2
comfort 1
coming 1
conclude 1
confusing 1
congress 1
conrad 1
consciousness 2
constantly 1
continues 1
control 3
corridor 1
could 2
council 2
counterpart 1
counterparts 1
covering 1
created 1
creature 1
creatures 4
cries 1
cryogenic 1
cyrosystem 1
dangers 1
daniel 1
david 1
dead 2
deal 1
decides 1
decimation 1
defeat 2
degree 1
denies 1
depart 2
designations 1
destruction 1
detail 1
details 2
developed 2
did 2
didnt 1
die 1
different 1
disappeared 2
disaster 1
discover 1
discovered 2
discovers 1
disturbed 1
divulge 1
do 1
doctor 55
does 1
doesnt 1
done 1
doomed 1
dormant 1
dr 1
dragged 1
draining 1
dream 2
dreamed 1
dreaming 1
dreammemory 1
dreams 5
drop 1
during 1
each 3
earth 7
edison 4
effects 1
elsewhere 1
emergencies 1
empty 1
encoded 1
encounters 1
end 1
ends 1
energy 1
enough 1
episode 1
escaping 1
evade 1
eventuates 1
everyone 2
everything 3
evolved 1
exam 2
existence 1
expedition 2
expeditionist 1
explains 3
explorer 1
fabricator 1
face 5
fact 2
failure 1
fan 1
