188071
/m/019q_s
/m/019q_s
James Clavell
1975
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
1600 1
a 48
aboard 2
about 3
abruptly 1
abusive 1
accompanied 1
act 2
adding 1
addressed 1
admire 1
admitting 1
advice 1
advisers 1
affection 1
after 3
against 5
agrees 2
aid 1
aim 1
alive 4
all 4
alliance 1
also 6
alvito 3
amida 1
amongst 1
an 10
and 86
anjin 1
anjinsan 1
another 1
answers 1
any 1
appointment 1
are 9
arm 1
armada 1
arrival 2
as 23
asian 1
asked 1
assassin 3
astonished 1
at 16
attack 3
attacked 1
attacking 1
attempt 3
attempts 2
audience 1
authority 1
avoid 1
aware 1
back 5
badly 1
balance 1
bamboo 1
barbarian 3
basic 1
battle 2
be 5
because 1
become 2
been 4
befriended 1
being 3
beliefs 1
beneath 1
between 5
bilingual 1
birds 1
black 4
blackthorne 53
blackthornes 1
blade 1
blast 1
blessing 1
blinded 1
blockaded 1
blow 1
boats 2
boiled 1
book 1
both 1
breaks 1
brief 1
bring 2
build 1
building 1
builds 1
buntaro 1
buried 1
burned 3
but 16
by 24
cannon 1
cannot 1
cant 1
capabilities 1
captive 1
capture 1
captured 1
capturing 1
castle 11
catholic 5
catholicism 1
chances 1
chapter 1
chief 1
chosen 1
christian 4
christianity 2
christians 1
church 4
claim 1
clear 1
clears 1
cleverest 1
coast 3
come 1
comes 1
commander 1
commit 3
compares 1
complicated 1
complies 1
confidence 1
confiscate 1
confiscates 1
conflict 1
conquests 1
contempt 1
convert 1
convinces 1
cooperation 1
council 9
countries 1
country 2
cowed 1
creating 1
crew 12
crucifix 1
cultural 1
culture 3
curious 1
custody 1
daimyo 2
daimyos 5
dangerous 2
dare 1
day 2
days 1
death 3
debt 1
decisions 1
deck 1
declares 1
deeply 2
defeated 1
deference 1
defies 1
demands 1
demonstrates 1
departs 1
deserved 1
designed 1
desire 2
desperately 1
despised 1
despite 2
destiny 1
details 2
die 3
died 1
direct 1
discovers 2
disgraced 1
disgracefully 2
disgusted 1
dishonor 1
disobey 1
dispatched 1
disrupt 1
distrust 1
diversion 1
divided 1
do 2
does 1
doing 1
door 2
down 2
due 1
during 3
dust 1
dutch 1
each 1
earlier 1
earth 1
earthquake 1
easily 1
either 1
else 1
encourages 1
ends 2
enemies 1
enemy 3
engaging 1
england 2
english 3
enmity 1
ensues 1
ensure 1
enters 2
epilogue 1
erasmus 6
escape 2
escort 1
establish 1
eta 1
europe 2
european 3
evasive 1
eventually 2
exchange 2
expand 1
exploit 1
exploitation 1
explosives 1
extend 1
extricate 1
face 1
faith 2
falconry 1
families 1
family 1
famous 2
far 1
father 1
feet 1
feudal 2
few 1
filthy 2
final 1
find 1
finding 1
firmly 1
first 1
fiscal 1
fist 2
five 2
flinging 1
fly 1
followers 1
foothold 1
for 12
force 1
forced 3
forces 1
foreign 1
formed 1
formidable 1
forward 1
franciscan 1
free 1
friendship 2
from 13
fuel 1
fulfill 1
further 1
futile 1
gained 1
gaining 1
gains 2
galleys 1
gate 1
general 1
gesture 1
give 1
given 1
gives 1
giving 2
gloriously 1
go 1
goes 1
gracefully 1
gradually 1
granted 2
grave 1
group 2
growing 1
grudging 1
guests 1
guise 1
guns 2
had 1
handling 1
has 13
hatamoto 1
have 3
having 1
he 21
heir 1
held 1
help 1
helped 1
her 9
hierarchy 1
higher 1
him 9
himself 4
hinted 1
hire 1
hired 2
hiromatsu 3
his 46
holding 1
holds 1
holland 1
home 1
honorable 2
honorbound 1
hopes 1
hostage 1
hostages 5
household 1
how 2
however 4
if 1
ignorant 1
implicates 1
in 41
inadvertently 1
incalculably 1
including 1
increasing 1
incredulous 1
influence 2
injunction 1
injured 1
inner 1
insists 1
instead 1
insular 1
intend 1
intense 1
interpret 1
intervenes 1
interview 3
interviewed 1
into 5
involves 1
iron 1
is 50
ishido 21
it 4
its 1
japan 7
japanese 11
japaneselanguage 1
japans 1
jesuit 5
jesuits 5
john 1
just 2
karma 3
kasigi 2
katana 1
keep 2
kidnap 1
kill 2
killed 1
know 2
knowledge 1
known 1
knows 1
ladies 1
lady 2
land 2
last 1
leader 1
leads 1
learn 2
learning 1
learns 1
leave 5
leaves 1
leaving 1
lend 1
length 1
let 2
letting 1
liege 1
life 4
likely 1
lingered 1
litter 1
little 1
live 1
lives 1
local 1
locked 1
long 1
lord 5
losing 1
lovers 1
loyalty 2
lunges 1
lure 1
make 1
man 2
maneuvering 1
many 1
mariko 13
married 1
martin 1
may 2
meeting 1
member 1
members 1
men 2
military 2
modern 1
money 2
monitor 1
monk 1
monologue 1
months 1
more 6
morsels 1
most 3
motif 1
motivated 1
mulls 1
murder 1
name 2
national 1
navigates 1
navigator 2
nearly 1
neck 2
negotiations 1
never 1
new 4
next 4
night 1
ninja 2
no 1
not 7
novel 2
novelty 1
now 3
numerous 1
obtain 2
of 61
off 1
offer 1
offered 1
old 3
omi 6
on 8
one 9
only 6
open 2
operatives 1
opportunity 1
oppose 1
or 3
order 5
ordered 2
orders 3
original 1
osaka 6
other 6
others 1
out 2
outsider 1
over 3
overboard 2
overlord 1
overlords 1
own 5
papers 1
parallel 1
paralyze 1
part 1
particularly 1
party 1
passersby 1
payment 1
peace 1
peasants 1
people 1
perception 1
peregrine 1
perfect 1
physical 1
pick 1
pilot 7
piloted 1
piloting 1
