10321595
/m/02q8dfw
/m/02q8dfw
Kate Cann
2006-07-03
{"/m/01jfsb": "Thriller", "/m/0dwly": "Children's literature", "/m/03npn": "Horror"}
1 1
11 1
17 3
2 3
23 1
3 1
3rd 1
a 21
abandoning 2
about 5
actions 1
acts 1
after 5
again 5
albatross 1
all 3
also 1
amber 29
an 4
and 28
another 1
answer 1
anything 1
apart 1
appeared 1
apple 1
are 1
around 1
arriving 1
as 7
asking 2
asks 4
at 5
atmosphere 1
attic 5
attics 2
attracted 1
awoken 1
back 4
bars 1
because 1
becoming 1
bed 7
beginning 1
begins 2
ben 4
bert 3
birthday 1
bizarre 1
books 1
bot 1
box 1
broken 1
bumps 1
but 7
by 3
cafe 2
cafes 1
call 1
called 1
can 1
cant 1
cares 1
case 1
chair 2
chairseem 1
change 1
child 2
chrissie 1
college 1
coming 1
complaining 1
conversation 1
convince 1
cook 2
cooks 1
could 1
crazy 2
crumble 1
crying 1
crys 1
cushions 1
dark 1
darkness 1
day 5
days 2
decides 1
deeply 1
depressed 1
determined 1
didnt 1
different 1
disappears 1
disturbed 1
doctors 1
does 1
doesnt 3
doing 1
down 1
dream 1
dreams 2
drunk 1
dust 3
eat 1
eating 1
eaves 1
edwardian 1
eerie 1
emotionally 1
ends 2
entering 1
enters 2
events 1
eventually 2
ever 1
every 1
everyone 2
everything 1
exactly 1
fade 1
falter 1
fault 1
feel 2
felt 1
finally 1
find 3
finding 1
finds 1
fingers 1
first 2
fish 1
fit 1
fix 1
fixed 1
flat 1
flirting 1
for 3
forgot 1
found 1
from 5
full 1
gap 1
get 3
gets 3
girl 3
go 2
goes 4
going 4
got 1
guilt 1
had 9
hair 1
halfsister 1
hanging 1
happened 1
happens 1
happily 1
has 1
haunted 1
have 2
he 1
heading 1
heads 1
heard 2
hears 3
heart 1
helps 1
her 33
herself 3
high 1
him 1
holiday 1
home 1
horror 1
house 8
housemate 1
housemates 2
hurting 1
if 1
ill 1
in 11
inside 1
intending 1
into 6
involved 1
iron 1
is 8
it 5
items 1
job 4
junk 1
just 1
kaz 7
keeps 3
kept 1
landing 1
large 1
last 2
later 2
laughed 1
leaves 3
leaving 2
left 3
lied 1
like 3
lives 1
looking 1
looks 1
lost 1
loves 1
main 1
make 1
makes 1
managed 1
many 4
marty 2
meal 5
meaning 1
meets 3
melted 1
mentioning 1
merral 3
met 1
mirror 2
more 1
morning 1
mother 14
move 1
moving 1
near 1
never 1
next 7
night 5
no 1
noise 1
noises 1
noone 1
not 6
nothing 2
notice 1
notices 1
number 1
obviously 2
of 13
off 1
old 5
on 11
once 1
one 4
only 2
ornate 1
other 2
others 1
out 1
owner 1
part 1
parts 1
person 1
phone 3
phones 1
pillow 1
pins 1
pitch 1
playfight 1
playfully 1
poked 1
police 1
poppy 12
prepared 1
pressure 1
previous 3
promised 1
promptly 1
protagonist 1
quickly 2
quite 1
radio 1
rattling 2
raw 1
reader 1
recoils 1
recounts 1
reflection 1
refuses 1
relationship 2
rest 1
reveals 2
right 4
road 3
rocking 3
room 3
rory 3
routine 1
rug 1
ruined 1
runs 1
said 1
saw 1
saying 2
says 2
scavenges 2
scuffle 1
second 1
seem 1
seems 2
seen 2
sees 4
shadow 1
shape 2
shapes 1
sharing 1
she 49
shed 2
shell 3
since 1
sinks 1
sitting 1
sleep 2
sleeps 1
slept 1
small 1
so 3
some 1
sore 1
sorry 2
spent 1
split 1
stairs 1
starts 1
stay 1
story 1
such 2
summer 1
sunday 1
sure 1
talking 2
teeth 1
tell 1
telling 4
tells 1
that 14
the 68
their 2
them 3
themselves 1
then 3
there 1
theyd 1
things 2
think 1
thinking 1
thinks 3
thinner 1
this 2
three 1
throat 1
time 1
timerefusing 1
times 2
to 28
together 1
told 1
tomorrow 1
tonsillitis 1
torn 1
trial 1
tried 1
tries 2
trust 1
twice 1
uncertain 1
unpacks 1
unstable 1
unsure 1
up 3
updated 1
upon 1
upstairs 2
various 1
violently 1
wakes 1
wanted 1
warn 1
was 3
wasnt 1
waver 1
way 2
website 1
wedged 1
well 1
werent 1
what 3
when 2
where 1
whereabouts 1
which 2
who 2
why 1
window 3
with 12
woke 1
woman 1
women 1
wood 2
wooden 1
word 1
work 5
year 2
