8883948
/m/027n6fl
/m/027n6fl
William March

{"/m/05hgj": "Novel"}
131 2
about 1
accounts 2
actual 1
affirmation 1
an 3
and 4
antimilitarist 1
antiwar 1
as 2
author 1
based 1
be 1
been 1
beginning 1
but 1
by 2
common 1
company 1
comprises 1
content 1
contrasting 1
create 1
daily 1
described 1
different 1
end 1
endured 1
events 1
experienced 1
from 3
has 1
horrific 1
i 1
in 1
is 1
it 1
k 1
life 2
maintained 1
many 1
march 1
marine 1
marines 2
novel 3
of 6
often 1
on 1
should 1
sketches 1
stem 1
stretching 1
that 1
the 11
these 1
to 1
told 1
training 1
truth 1
viewed 1
viewpoint 1
vignettes 1
war 2
was 1
witnessed 1
world 1
