3608681
/m/09pp4w
/m/09pp4w
Tawni O'Dell
2000-01
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 7
abusive 1
adult 1
after 1
ages 1
aggressive 1
all 2
altmyer 1
an 4
and 15
arrest 1
as 3
backwoods 1
be 2
become 1
beer 1
best 1
blur 1
but 1
by 2
can 1
care 1
caring 1
chasing 1
cheese 1
child 1
coal 1
college 1
comes 1
complicated 1
consume 1
darkly 1
day 1
death 1
deepens 1
develops 1
dinners 1
disturbing 1
does 1
down 1
drinking 1
duty 1
each 1
every 1
exhausting 1
existence 1
face 1
family 1
fantasies 1
father 1
feelings 1
fiery 1
for 2
freed 1
from 1
frustrated 1
funny 1
further 1
girls 1
glad 1
guy 1
handed 1
harley 3
has 1
have 1
he 7
her 1
him 1
his 8
hold 1
homemaker 1
humor 1
impossible 1
in 4
instead 1
is 4
it 2
its 1
jobs 2
joyless 1
lack 1
levels 1
libido 1
life 2
lousy 1
love 1
mac 1
marooned 1
melancholic 1
minimum 1
monthly 1
mother 3
no 1
not 1
obsession 2
of 13
oncedevoted 1
only 1
ordeal 1
orphaned 1
over 1
overwhelmed 1
own 1
parent 1
pennsylvania 1
physically 1
plagued 1
prison 1
purity 1
realize 1
reins 1
resigned 1
responds 1
responsibilities 1
revelation 1
road 1
search 1
secrets 1
seems 1
sees 1
selfworth 1
sense 1
series 1
sexy 1
shapes 1
she 1
shooting 1
should 2
sisters 1
situation 1
sizes 1
slowly 1
son 1
staggering 1
stifling 1
story 1
surprises 1
survival 1
talent 1
teenager 1
that 1
the 10
threaten 1
three 1
through 1
to 6
together 1
touching 1
town 1
trapped 1
truths 1
two 2
ultimately 1
unearthing 1
unexpected 1
unspoken 1
violent 2
visits 1
wage 1
when 1
who 1
with 4
women 1
working 1
wrenching 1
yet 1
young 1
younger 1
