17688405
/m/0479dws
/m/0479dws
Barry Pilton
2005
a 3
alfresco 1
all 1
and 5
are 2
artistic 1
as 2
become 1
believe 1
benefits 1
but 3
buys 1
cant 1
changes 1
collide 1
comes 1
community 1
customers 1
dafydd 1
derelict 1
discovered 1
dramatic 1
drink 1
enjoy 1
even 1
fabric 1
farming 1
finds 1
for 3
get 1
going 1
good 1
gradually 1
gwillim 1
has 1
hates 1
have 1
his 1
house 1
however 1
idyll 1
immune 1
impoverished 1
impresses 1
in 4
insular 1
is 2
its 1
jane 1
landlord 1
life 2
live 1
living 1
local 1
manor 1
money 1
moving 1
mysterious 1
nant 1
newcomers 1
noone 1
nudity 1
of 1
on 1
outside 1
outsider 1
outsiders 1
passion 1
postman 1
pub 1
ready 1
repercussions 1
results 1
rob 1
rural 2
squire 1
stefan 1
the 12
their 1
they 1
those 1
to 4
tragic 1
tries 1
ubiquitous 1
uncertain 1
undone 1
urbanites 1
valley 2
want 1
with 1
world 1
