1589066
/m/05ds38
/m/05ds38
William Barton

a 13
abilities 1
absolute 1
adventures 1
aether 1
after 2
afterword 1
aid 1
albert 1
alephnull 2
all 1
an 4
and 12
apart 1
approach 1
are 1
as 3
asks 1
astral 2
asymptotically 1
at 3
attributes 1
away 1
back 1
ball 2
banachtarski 1
based 1
basic 1
be 3
been 1
beetle 1
begins 1
being 2
bingedrinking 1
bloogmatter 1
bloogs 1
bodies 1
body 2
book 1
bring 1
broken 1
but 4
by 2
c 1
called 1
calls 2
can 2
cantor 2
cardinality 1
career 1
cimn 5
clerk 1
climb 1
climbing 1
college 1
continuum 3
create 1
deadinthewater 1
decide 1
deserts 1
desk 1
devil 1
disproven 1
distance 1
divisible 1
do 1
doubling 1
downandout 1
dreamingaided 1
dreams 1
during 1
each 1
earth 3
einstein 1
empty 1
encounters 1
episode 1
eponymous 1
eventually 2
everybody 2
exactly 1
existence 1
experience 1
experimenting 1
falls 2
family 1
famous 1
favor 1
felix 12
find 1
for 2
found 1
four 1
franx 2
franz 1
friend 1
from 1
full 1
fuzz 1
gain 1
georg 1
get 1
getting 1
ghost 1
godabsolute 1
government 1
grand 1
grappling 1
gravity 1
greater 1
guises 1
had 1
half 1
has 2
have 1
he 5
hell 2
her 1
higher 1
hilbert 1
him 4
his 5
hotel 3
hours 1
hunts 1
hypothesis 3
if 1
ignoring 1
implied 1
in 9
indivisible 1
infinite 6
infinitely 1
infinity 3
insight 2
instantiation 1
instead 2
into 3
involves 1
is 10
it 2
its 1
itself 1
jesus 2
just 1
kafka 1
kathy 5
kinds 1
leave 1
leaves 1
leaving 1
life 1
light 2
like 2
littered 1
loquacious 1
loses 1
lucid 1
many 1
marijuanahoping 1
marijuanasmoking 1
mathematicians 1
mathematics 1
matter 1
means 1
mentioned 1
merge 1
merges 1
metamorphosis 1
more 1
mount 2
move 1
multiple 1
named 2
nearly 1
new 2
not 2
notion 1
of 13
off 1
on 4
one 1
or 4
original 1
other 1
outofbody 1
paradox 2
perhaps 1
permeated 1
physical 2
physicist 1
pieces 1
place 1
portholes 1
precise 1
properties 1
rayman 1
refuses 1
regarding 1
remembers 1
reminiscent 1
research 1
reside 1
restless 1
room 2
rucker 1
saves 1
scared 1
scientists 1
side 1
so 1
solid 1
souls 1
spectacular 1
speed 3
state 1
stays 1
story 1
sucas 1
such 2
suppresses 1
take 2
teacher 1
that 3
the 24
their 3
then 1
there 5
they 3
things 1
this 2
three 1
time 1
to 13
travelling 1
troubled 1
try 1
turn 1
two 1
until 1
unusual 1
up 2
upon 1
us 1
uses 1
various 1
victim 1
wakes 1
weed 1
were 1
which 6
white 1
who 3
will 1
with 9
world 1
york 1
