16649707
/m/03yjngt
/m/03yjngt
Muriel Spark
1981
150s 1
a 1
and 4
are 1
as 3
assists 1
association 2
autobiographical 1
be 1
blackmailing 1
chase 1
compete 1
complete 1
discovers 1
each 1
early 1
eccentric 1
evil 1
fact 1
fiction 1
first 1
fleur 4
for 4
gains 1
growing 1
her 2
here 1
his 1
imitate 1
in 2
increasingly 1
is 1
it 2
job 1
london 1
manages 1
material 1
may 1
meanwhile 1
members 2
memoirs 1
novel 2
novelinprogress 1
oliver 1
other 1
plans 1
quentin 4
reveals 1
secretary 1
secure 1
seeking 1
seeks 1
she 1
sir 4
source 1
struggling 1
suppress 1
suspicious 1
talbot 1
that 1
the 3
their 1
this 1
to 4
truth 1
valuable 1
warrender 1
whilst 1
whose 1
working 1
write 1
