35654800
/m/05nlmwt
/m/05nlmwt
Patrick Robinson
2007-06-12
{"/m/05h83": "Non-fiction"}
10 1
2005 1
a 8
aboard 1
about 1
afghan 1
afghanistan 2
after 3
against 1
all 2
allied 1
an 1
and 7
are 1
army 1
as 1
at 1
attempts 1
be 1
beginning 1
billy 1
bin 1
book 1
boy 1
but 1
by 4
came 1
capture 1
central 1
childhood 1
clash 1
completing 1
culture 1
danny 1
days 1
debated 1
decision 1
describes 2
died 1
dietz 1
down 1
dozens 1
drastically 1
e 1
eight 2
encountered 1
engaged 1
engagement 1
except 1
fighters 1
for 3
four 3
from 1
go 1
group 1
had 1
harbored 1
helicopter 1
helping 1
hiding 1
him 4
hindu 1
his 3
homes 1
hospitality 1
hour 1
hundred 1
in 4
including 1
is 1
joining 1
june 1
kill 1
killed 1
killing 1
kunar 1
kush 1
laden 1
later 1
leading 1
let 1
luttrell 7
make 1
marcus 1
member 1
members 1
men 1
mission 2
more 1
mountains 1
mr 2
navy 2
new 1
night 1
odds 1
of 11
on 1
one 2
only 1
operation 1
operations 1
or 2
original 1
osama 1
out 1
outside 1
parties 1
pashtun 2
patton 1
plot 1
posting 1
prepare 1
protecting 1
province 1
red 1
release 1
rescue 1
rescued 1
rest 1
rules 1
safety 1
saving 1
seal 2
seals 4
several 1
shane 1
shelton 1
shepherds 4
shot 1
soldiers 1
sparing 1
special 1
stake 1
story 1
substituted 1
sums 1
surrounded 1
survive 1
taliban 4
team 3
than 1
the 29
their 2
theme 2
then 1
thought 1
three 2
times 1
to 10
training 2
two 1
ultimately 1
understood 1
up 1
uphold 1
us 1
validate 1
village 1
villagers 1
violent 1
vote 1
warriors 1
was 4
were 3
which 1
while 1
who 2
whom 1
wings 1
with 4
york 1
