19103725
/m/04jfvkq
/m/04jfvkq
Julia Golding
2007-09-06
a 2
all 1
and 9
are 1
army 1
as 1
be 1
being 1
beings 1
best 1
between 1
bursts 1
but 2
by 1
can 2
chimera 1
col 1
communicate 1
companions 1
connie 2
creatures 1
dangerous 1
deadly 1
death 1
destroy 1
destroyed 1
during 2
everyone 1
everything 1
evil 1
fight 1
finale 1
fire 1
for 3
friend 1
friendships 1
gifts 1
hands 1
hatred 1
he 1
her 2
him 1
his 1
how 1
human 1
humanity 1
humans 1
into 1
is 2
it 1
keep 1
kullervo 3
last 1
leaves 1
life 1
must 2
mythical 2
no 1
of 2
one 2
only 3
out 1
part 1
peace 1
person 1
power 1
prepares 1
quartet 1
revealed 1
sacrificed 1
scorching 1
serpentlike 1
shapeshifter 1
small 1
stop 1
summer 1
survive 1
tested 1
the 10
this 2
thrilling 1
to 3
unchanged 1
unity 1
universal 1
wants 2
war 1
what 1
who 3
will 1
wiping 1
with 1
world 1
