408738
/m/024s_t
/m/024s_t
Richard Morgan
2003-03-20
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
30 1
a 20
abandoned 1
able 2
aboard 1
activate 1
actually 1
adrift 1
advanced 1
after 4
against 1
aggressive 1
allegiance 1
allows 1
almost 1
alone 1
along 1
also 1
altered 2
an 11
ancient 1
and 21
another 1
apart 1
apparently 1
approached 1
archaeological 2
archaeologist 2
are 1
area 2
artifact 5
artifacts 2
as 3
assemble 1
at 2
attack 3
attacked 2
attempt 1
attempts 1
automated 1
awaiting 1
battle 1
become 1
been 1
before 1
begin 1
begins 2
behind 1
being 3
blast 1
boat 2
bodies 2
body 1
bombs 1
broke 1
buoy 1
but 1
buy 1
by 11
camp 1
campaign 1
can 1
carbon 2
carrera 2
causes 1
city 1
claim 1
clears 1
close 2
closing 1
colony 1
come 1
comes 1
companies 1
completely 1
composite 1
confesses 1
confronted 2
contested 1
coordinated 1
corporate 1
corporatesponsored 1
corporation 2
corpses 1
corrosion 1
danger 1
deactivates 1
dead 3
decides 1
defence 1
defend 1
deployed 1
despite 1
destroy 1
destroyed 1
dig 2
disastrous 1
discovered 1
discovering 1
distant 1
drifting 1
drop 1
during 5
eliminating 1
elite 1
emotions 1
encounter 1
enlists 1
enters 1
entire 1
equipment 2
escape 1
escapes 1
eventually 1
everything 1
evolution 1
evolve 1
executive 1
expedition 4
experience 1
explode 1
exploit 1
exploration 1
exposure 1
fallout 1
featured 1
feeding 1
fights 1
finding 1
finds 1
first 2
fishing 2
follows 1
for 9
forces 1
forms 1
formulate 1
found 1
free 2
from 10
gate 2
goes 1
government 1
grenade 1
group 1
had 1
hand 5
happened 1
has 1
have 1
having 1
he 2
heavily 1
her 2
him 2
his 4
home 1
how 1
huge 1
hundreds 1
imprisons 1
in 14
inactive 1
including 1
information 1
inside 1
instantaneous 1
intelligent 1
into 2
involved 1
is 14
it 2
its 2
itself 1
iv 1
jan 1
joins 1
just 1
kill 1
killing 2
kills 1
known 1
kovacs 16
last 1
later 1
latest 1
latimer 1
leaks 1
learn 1
leave 1
left 1
lies 1
like 1
linked 1
located 1
location 1
looking 1
loyal 1
machine 1
machines 1
madness 1
major 1
manages 1
mandrake 2
many 2
market 1
mars 2
martian 9
martians 2
matthias 1
member 2
members 3
mercenary 1
microscopic 1
middle 1
mined 1
mission 2
more 2
named 1
nanodes 5
near 1
net 1
new 1
night 1
no 1
not 1
notices 1
now 1
nuclear 1
of 17
on 6
once 1
one 3
online 1
opening 1
opposing 1
order 2
orders 1
organisation 1
original 1
others 2
out 3
outer 2
over 1
oversee 1
ownership 1
party 4
passage 1
pilot 1
place 1
plan 1
planets 1
point 3
poisoned 1
portal 7
prevent 1
prewar 1
prison 1
process 2
progress 1
prompts 1
protection 1
radiation 2
radioactive 1
reach 1
realized 1
realizes 2
rebellion 1
rebels 1
recover 1
recovery 2
reentry 1
remaining 1
render 1
repaired 1
representative 1
represented 1
rescues 1
rescuing 1
responsible 1
retains 1
reveals 1
rights 1
rival 1
sabotage 1
sabotaged 1
safe 1
sanction 2
sauberville 1
schneider 4
secretly 1
secure 1
securing 1
select 1
serving 1
several 1
she 2
ship 2
shoot 1
shuttle 4
sickness 1
site 4
slowly 1
soldiers 1
some 1
soul 1
space 1
species 1
squad 6
stacks 1
star 1
starship 5
starts 1
stay 1
strongest 1
stunning 1
succeeds 1
support 1
surviving 1
system 2
systems 1
takeshi 1
tanya 4
team 4
technoglyphs 1
technologically 1
that 9
the 80
their 3
them 5
then 1
they 1
this 2
through 3
times 1
to 32
torture 1
trades 1
traitor 3
translate 1
transport 1
two 3
unable 1
unconscious 1
unit 1
unknown 3
upon 1
use 1
using 1
visions 1
wanted 2
war 5
wardani 3
warship 1
was 1
weapon 2
wedge 5
were 3
what 1
when 2
where 2
which 6
while 3
who 4
with 3
work 1
world 1
wormhole 1
years 2
zone 2
