2482107
/m/07h0ll
/m/07h0ll
Richard Rodgers

1 1
150s 1
1although 1
2 2
a 20
aback 1
about 3
accept 1
accepts 1
accidentally 1
across 2
act 4
acting 1
action 3
adding 1
after 4
again 1
all 1
also 2
amusement 1
an 2
and 37
annoyed 1
another 2
appears 1
are 11
around 1
as 11
aside 1
assistant 1
at 5
attracted 2
audience 4
audition 2
auditions 1
avenue 1
aware 2
away 1
back 1
badly 1
bar 1
be 4
become 1
been 1
before 4
begin 1
begun 1
being 2
better 2
betty 4
big 1
black 1
bob 28
boss 1
bridge 3
broadway 1
budding 1
business 1
but 6
by 7
call 1
calling 1
can 2
carmen 4
cast 2
caught 1
character 1
charge 1
charlie 1
chili 1
chokes 1
chorus 1
close 1
comes 1
comment 1
company 1
concluding 1
conclusion 2
conductor 1
congratulated 1
continue 1
continues 1
currently 1
curtain 4
dancer 2
dancers 2
dancing 1
dario 1
date 1
datesone 1
dating 1
day 2
daythat 1
decides 1
defends 1
demands 1
deserve 1
desires 1
determined 1
didnt 1
disgust 1
do 1
does 1
don 3
doors 1
doubts 2
down 1
downstairs 1
drops 1
dumped 1
during 2
each 3
earlier 1
early 1
eighth 1
electrician 4
ends 1
enjoys 1
enlightened 1
enraged 1
ensuing 1
enter 1
enters 2
entire 1
exits 1
falls 1
familiar 1
fearful 1
fears 1
feels 2
fellow 1
female 1
few 1
fight 2
final 1
finale 3
find 1
finishes 1
flowers 1
follows 1
fooled 1
for 13
free 1
from 3
front 1
gay 2
get 1
gets 1
giant 1
girl 4
girlfriend 2
gives 1
goes 1
going 1
gone 1
good 1
grabs 1
grasps 1
ground 1
guess 1
had 2
half 1
hands 1
happens 3
has 8
having 1
he 6
head 1
heard 1
help 1
her 13
here 1
hiding 1
him 7
his 7
hits 1
holding 1
hour 1
i 2
identifies 1
if 2
ill 1
im 1
in 17
informs 1
insists 1
intermission 1
internal 6
involved 1
irritated 1
is 17
it 9
jeanie 21
jeannie 4
job 1
jokes 1
juan 3
juliet 11
julietnbsp 1
just 1
keep 2
keeping 1
kid 1
kiss 1
knocked 1
knocks 2
know 1
larger 2
larry 19
lead 2
learning 1
leave 1
leaves 2
leaving 1
lecture 1
led 1
lets 1
lies 1
light 3
lights 1
like 1
likes 1
lily 2
longrunning 1
looks 1
lounge 1
love 2
lowered 1
mac 14
main 1
male 2
man 2
manager 5
marriage 1
married 2
marry 4
may 1
mayhem 1
me 12
meeting 1
member 1
minutes 1
momentarily 1
months 1
more 3
morning 1
moving 1
musical 2
needs 1
never 1
new 1
next 1
no 2
not 5
nothing 1
noticed 1
numbers 1
of 19
off 1
office 1
offstage 1
on 9
only 1
onstage 3
orchestra 1
orders 2
other 4
our 1
out 4
overture 2
own 1
panic 1
part 1
pass 1
performed 1
performs 1
perspective 1
phone 1
phony 1
place 1
places 1
plan 1
play 2
played 1
playing 1
position 2
practices 1
practicing 1
preparations 1
present 1
principles 1
producer 2
professionally 1
proof 1
pursued 1
pushes 1
puts 1
quietly 1
radiator 1
rather 1
real 1
reangle 1
recover 1
rehearse 1
rehearsing 1
reject 1
relentlessly 1
reluctance 1
remains 1
remarkable 1
reprise 1
rest 1
restaurant 1
resume 1
right 1
rings 1
rises 2
role 4
romance 3
ruby 3
said 1
sandbag 1
says 1
scares 1
scene 3
scowl 1
search 1
searching 1
second 2
secretly 2
see 1
seeing 2
sees 3
sends 2
setting 2
several 1
she 6
sheepishly 1
shifts 1
show 12
showmates 1
showwithintheshow 1
sidney 11
singer 2
sings 1
situation 1
slip 1
something 1
sooner 1
special 1
spotlight 2
spotted 1
stage 7
stamps 1
stands 1
starts 1
stating 1
still 1
stood 1
street 2
stronger 1
strongly 1
suited 1
supervision 1
surprised 1
taken 1
takes 4
talk 1
tells 5
terminology 1
than 2
that 7
the 86
theatre 4
theatrical 1
their 3
them 4
then 2
there 1
thereby 1
these 1
they 1
this 4
through 1
to 35
too 1
transfer 1
tray 3
true 1
two 1
type 1
unable 1
under 1
understudy 2
unusual 1
up 2
upcoming 1
urging 1
ushers 1
very 1
voices 1
wants 1
warns 2
watch 2
waves 1
way 2
we 1
well 1
were 1
what 1
when 5
where 3
which 3
while 2
who 2
why 1
will 2
window 1
wings 1
with 7
wrong 1
you 1
your 1
