6106468
/m/0fqcnc
/m/0fqcnc
Naomi Novik
2006-03-28
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
1805 1
36gun 1
a 19
aboard 1
abused 1
accept 1
accompanied 1
acidspitters 1
action 1
actually 2
additionally 1
admits 1
adopt 1
aerial 6
affection 1
after 4
agent 1
aid 1
air 1
allblack 1
allendale 1
almost 1
also 2
amitie 1
an 1
and 25
another 1
apparent 1
are 7
armada 1
arrive 2
as 5
at 7
attempt 2
attempting 1
attempts 1
await 1
back 1
base 1
battle 2
be 2
bearing 1
become 1
being 1
berkley 1
board 1
bolstered 1
breath 1
breed 2
brief 1
bring 1
britain 2
brought 1
but 2
by 7
called 1
camp 1
captain 6
captains 3
captured 1
carried 1
catherine 1
celebrating 1
celebration 1
celebrations 1
celeritas 2
celestial 1
celestials 2
china 2
chinese 3
choiseul 2
chooses 1
close 1
coalition 1
combat 2
commemorate 1
competition 1
concerning 2
copper 1
corps 5
covert 2
crew 3
day 1
dayes 3
declare 1
deemed 1
deep 1
deserter 1
despite 1
destroys 1
destruction 1
develop 2
difficulties 1
diminishes 1
disadvantage 1
dismisses 1
disrupts 1
divine 1
double 1
dover 3
down 1
dragon 3
dragonet 2
dragons 4
during 3
earlier 1
edward 1
egg 2
emily 1
emperors 1
england 3
enlisting 1
entirely 1
erases 1
estate 1
eventually 2
every 1
excidium 1
experienced 1
family 1
female 2
fight 1
finally 1
find 1
fire 1
first 1
flechadelfuego 1
flight 1
fly 1
for 3
force 1
formation 1
france 2
french 7
friend 1
friendship 1
frigate 1
from 2
gifted 1
going 1
granby 2
great 1
grievous 1
groomed 1
ground 1
grown 1
handler 2
harcourt 2
harnass 1
has 1
hatching 1
hauled 1
he 8
headed 1
held 1
here 1
herself 1
hide 1
him 1
his 10
hms 1
hostility 1
how 1
howe 2
however 1
idea 1
identifies 1
imperial 1
important 1
in 13
informality 1
initial 1
injured 1
insist 1
instead 1
intelligence 1
interrogation 1
into 2
introduces 1
is 8
it 2
jane 3
john 1
join 2
kidnap 1
knowing 1
known 1
laggan 2
land 1
lands 1
laurence 16
leave 1
less 1
levitas 2
lieutenant 1
life 1
likewise 1
lily 2
loch 2
longwing 2
longwings 1
lovers 1
lt 1
madeira 1
make 1
married 1
maximus 1
meanwhile 1
meet 1
meets 2
men 1
mission 1
more 2
mother 1
mount 1
much 1
must 2
names 1
napoleon 4
naturalist 1
navy 1
near 1
nelson 1
new 2
noble 1
not 1
number 1
numbers 1
objective 1
of 17
officer 1
on 3
one 1
only 2
opens 1
or 1
order 2
ordered 1
orders 1
originally 1
out 2
outside 1
over 1
overcome 1
parnassian 1
party 1
personal 1
planning 1
plans 1
plenty 1
polite 1
powerful 1
praetorius 1
predicted 1
preferring 1
prepare 2
pressed 1
primary 1
prize 1
profession 1
prove 1
raked 1
rankin 2
rare 2
rarely 1
reassign 1
regal 1
rejects 1
rejoices 1
reliant 3
reluctance 1
reserve 1
response 1
resulting 1
retires 1
retreat 1
revealed 1
reveals 2
roar 2
roland 2
royalty 1
runners 1
sea 1
seeks 1
seen 1
sees 1
seizes 1
send 2
sent 1
service 2
severely 1
ship 1
shockwave 1
short 1
showed 1
signal 1
sir 2
six 1
society 1
solely 1
some 1
soon 1
spanish 1
spines 1
spirits 1
steal 1
stopover 1
strength 1
superior 1
surprised 1
survives 1
take 1
telling 1
temeraire 15
that 3
the 53
their 7
them 1
then 1
thereabouts 1
they 4
third 1
this 4
though 1
tide 1
time 1
to 28
trafalgar 1
training 2
trainingmaster 1
transport 1
transports 3
troops 1
turns 1
two 1
under 1
unfortunately 2
unhatched 1
unique 1
unleashes 1
unlikely 1
unusual 1
using 1
victoriatus 2
victory 2
views 1
war 1
was 2
weapon 1
when 3
where 2
which 2
while 2
who 4
whom 1
whose 2
will 1
william 1
winchester 1
wind 1
wings 1
winter 1
with 5
worries 1
wounded 1
young 1
