7312895
/m/025yx07
/m/025yx07
Margaret Haddix

10 1
11yearold 1
a 11
about 1
after 2
again 1
also 1
although 1
an 1
and 14
as 4
ask 1
at 5
attempt 1
attend 1
back 1
ball 2
be 1
beauty 1
being 1
bisset 1
book 1
breaking 1
brings 1
brown 1
but 2
by 1
camp 4
castle 1
change 1
charge 1
charming 1
corimunde 2
despises 1
did 1
dies 2
digs 1
discover 1
dissatisfied 1
doctor 1
does 2
down 1
dream 1
dress 1
dropping 1
dull 1
dungeon 1
ella 3
enamored 1
ends 1
engagement 1
escape 2
fact 1
falling 1
father 4
fifteen 1
finally 1
finds 1
fitting 1
for 4
forced 1
found 1
fridesia 1
friends 1
from 3
future 1
girl 1
glass 1
griselda 1
had 1
has 2
have 2
he 4
her 16
him 1
his 3
history 1
hole 1
house 1
however 1
in 5
incognito 1
increasingly 1
instead 1
into 1
is 7
jed 6
laments 1
leader 1
life 3
like 2
living 1
lucille 2
madame 1
makes 2
manages 1
marry 1
mary 1
may 1
meaning 1
mentions 1
midnight 1
mind 1
months 1
most 1
mother 1
no 1
noble 1
normal 1
not 2
now 2
of 6
old 1
or 1
out 3
palace 4
part 1
people 1
person 1
position 1
possibility 1
power 1
prepared 1
prince 4
princess 1
proposes 1
ran 1
reality 1
refugee 1
refugees 1
request 1
reston 1
return 1
right 1
royal 1
saying 1
servant 1
servitude 1
she 14
shoe 1
six 1
slipper 1
slippers 1
so 1
sort 1
standing 1
stepmother 1
stepsisters 1
straight 1
stroke 1
sualan 1
teacher 1
tells 1
that 6
the 22
then 2
they 1
things 1
thinks 1
through 2
thrown 1
time 1
to 14
toilet 1
took 1
training 1
travel 1
treats 1
true 1
try 1
trying 1
up 1
used 1
using 1
virtually 1
wager 1
wait 1
want 1
war 1
was 1
way 2
wearing 1
wedding 2
went 1
whatsoever 1
when 3
who 3
with 3
women 1
won 1
wondering 1
works 1
writes 1
year 1
