23265858
/m/0660lbt
/m/0660lbt
Mildred Savage
1964
146 1
a 2
abject 1
ade 1
all 1
an 1
and 7
antibiotic 2
archetypal 1
arcs 1
are 3
backstab 1
bicker 1
biochemistry 1
brainard 1
broadspectrum 2
by 1
cable 2
caroline 1
character 1
chemical 1
claude 1
committing 1
company 2
conservative 1
constance 1
dangerous 1
descend 1
development 1
director 1
dr 1
drug 1
eg 1
embodying 1
enright 1
etc 1
financial 1
fiscally 1
for 3
generally 1
gil 1
good 1
hale 1
heroes 2
his 1
hope 1
idealistic 1
immorality 1
in 2
increasing 1
into 2
is 2
line 1
linear 1
max 1
maxwell 1
mills 1
morrissey 1
names 1
new 2
number 1
of 3
often 1
opposing 1
possessing 1
president 1
production 1
research 2
resources 1
scientist 1
search 1
steers 1
story 1
strong 2
supporting 1
that 1
the 6
them 1
to 1
tom 1
traditional 1
tropelike 1
vicepresident 2
villains 2
waters 1
while 1
will 1
with 2
young 1
