4547131
/m/0c87sz
/m/0c87sz
Raymond Williams
1960
{"/m/05hgj": "Novel"}
120s 1
130s 1
a 6
also 1
and 3
area 1
at 1
becoming 1
been 1
before 1
black 1
but 1
cambridge 1
closely 1
coal 1
coalfield 1
community 2
connected 1
decision 1
describes 1
economic 1
farmers 1
father 2
fictional 1
flashbacks 1
from 1
general 1
glynmawr 1
group 1
had 1
his 3
history 1
impact 1
in 6
includes 1
including 1
is 1
it 1
its 1
leave 1
lecturer 2
lengthy 1
living 1
london 2
made 1
matthew 2
mining 1
mostly 1
mountains 1
nearby 1
novel 1
of 4
on 1
own 1
price 2
railway 2
returns 1
rural 1
set 1
sick 1
signalman 1
small 1
south 2
story 1
strike 1
studying 1
the 8
to 4
university 1
up 1
valleys 1
village 1
visit 1
wales 2
workers 1
