1367306
/m/04x42j
/m/04x42j
Anthony Trollope
1875
a 29
about 3
accompanied 1
acquaintance 1
acquainted 1
actual 1
actually 1
advised 1
affairs 1
affection 1
affections 1
after 5
against 2
agreeing 1
agrees 1
alerted 1
alf 1
all 4
allocated 1
allow 1
allowing 1
allows 1
along 1
already 1
also 5
america 2
american 2
amongst 1
amorous 1
an 3
and 38
another 1
any 1
appearance 1
approached 1
appropriate 1
are 5
aristocrat 1
aristocratic 1
around 1
arranging 1
as 2
at 6
attempt 1
attempts 1
attentions 3
augustus 1
aunt 1
away 3
back 2
bank 3
banker 1
baronet 1
based 1
be 1
beaten 1
beats 1
beautiful 1
because 1
become 2
becomes 1
been 5
before 1
begins 1
being 2
believe 1
believing 2
belonging 1
beset 1
between 1
blank 1
blocked 1
board 4
boarding 1
bought 1
break 1
breaks 1
brehgert 2
brought 1
broune 2
business 1
but 3
buxom 1
buzzing 1
by 20
can 2
cannot 1
carbury 8
carburywho 1
card 1
carrying 1
cash 1
central 1
chaired 1
changed 1
characters 1
charges 1
cheated 1
cheque 1
child 2
city 3
clerk 1
club 1
coast 1
come 2
comes 1
coming 1
commons 1
complicated 2
conflict 2
consent 1
considerable 1
construction 1
continent 1
controlled 1
country 1
couple 1
cousin 3
creditors 3
criminal 1
croll 6
crumb 2
crust 1
dashing 1
daughter 4
decide 1
decides 1
declines 1
demand 1
desk 1
determined 1
devastated 1
difficult 1
discovers 1
dissolute 1
distinguished 1
document 1
documents 2
door 1
drunk 1
drunken 1
editor 1
elope 1
ends 2
engaged 1
engagement 1
engineer 1
england 2
estate 3
evening 1
events 1
eventually 1
exchange 1
expenses 1
exposed 1
fact 1
failed 1
falls 1
family 1
farm 1
father 1
felix 16
fiance 1
final 1
finally 3
financial 2
financially 1
financier 1
find 1
finding 1
finds 2
fine 1
fisker 2
followed 1
for 6
forced 1
forcing 1
foreignborn 1
forged 1
forgery 2
forges 2
forgives 1
former 1
fortunes 1
francisco 1
free 1
friend 3
from 6
furybut 1
future 1
gambles 1
game 4
georgiana 1
get 4
gets 1
girl 1
give 2
given 1
go 2
goal 1
goes 1
grand 1
grandfather 2
grendall 1
grosvenor 1
had 4
hamilton 2
happens 1
has 7
have 2
he 10
head 1
heart 1
heiress 1
her 23
heroine 1
hetta 5
hettamuch 1
him 9
himand 1
himself 1
his 37
historical 1
home 1
host 1
hosting 1
house 4
hurtle 8
in 19
increasing 1
independent 1
inspection 1
instigated 1
intention 1
intercepted 1
into 3
invest 1
investment 1
investors 2
is 28
it 7
itself 1
jewish 1
john 3
journal 1
k 2
knocking 1
knowing 1
knowledge 1
knows 1
lady 4
lake 1
later 1
lavish 1
learns 1
leave 1
leaves 1
leaving 1
lengthy 1
life 1
like 1
line 3
literary 1
live 2
lived 1
liverpool 2
lives 1
living 1
local 1
lodging 1
london 6
longestaffe 2
looming 1
loose 1
lord 1
love 1
madame 2
made 1
maid 2
make 1
makes 2
manages 1
manor 1
marie 10
marries 3
marry 6
marrying 1
matilda 1
meantime 1
meanwhile 2
meet 3
meetings 2
melmotte 21
melmottes 1
mentor 1
mexican 1
mexico 2
miles 1
miller 1
mistake 1
money 6
montague 2
mother 6
moves 1
mp 1
mr 5
mrs 9
munich 1
mysterious 1
name 2
nearly 2
need 1
never 2
new 1
newfound 1
nidderdale 1
no 1
nominal 1
not 1
notinconsiderable 1
novel 1
now 2
obligations 1
of 16
off 3
offered 1
office 1
on 10
one 3
only 1
order 1
origins 1
out 5
over 2
own 2
owned 2
pacific 1
particularly 1
partner 1
party 1
past 1
paul 17
paying 1
penniless 2
person 1
personal 1
pipkinwhere 1
plan 1
playing 1
poisons 1
police 1
political 2
potboilers 1
powerful 1
precisely 1
previous 1
price 1
protect 1
publisher 1
purchase 1
purchaser 1
purchases 1
pursue 1
put 1
queensendeavours 1
questions 1
quickly 1
railway 6
raises 1
ramp 1
rather 1
realizes 1
reconciled 1
refuge 1
refused 1
refuses 2
relationship 2
remainder 1
reputation 1
respectable 1
restore 1
return 1
returns 3
revealed 1
reveals 1
revenge 1
rich 1
rival 1
roger 5
ruby 7
ruggles 1
rumored 1
rumours 1
running 2
runs 1
salt 1
san 1
sands 1
satirical 1
savings 1
scheme 2
schemes 1
seeing 1
send 1
service 1
sets 2
share 1
shares 1
she 3
shenanigans 2
ship 3
side 1
signature 2
simply 1
sir 2
sister 1
situation 1
son 1
south 1
spend 1
square 1
start 2
steadfastly 1
steal 1
stepmother 1
subplot 1
tatters 1
tells 1
than 1
that 12
the 45
their 5
them 2
then 1
thereby 1
they 6
this 1
thorn 1
thoroughly 1
through 1
throughout 1
thus 1
ties 1
time 1
titles 1
to 58
together 2
torn 1
towards 2
tries 1
trip 1
troubles 1
true 1
truth 1
two 1
ultimately 1
up 5
upon 1
upper 1
vehicle 1
veracruz 1
vows 1
walking 1
wealth 1
weekend 1
welloff 1
when 6
where 1
which 2
while 1
whilst 2
who 12
whose 1
widowed 1
will 3
win 1
winifred 1
wishes 1
with 17
without 1
witness 1
wits 1
woman 2
woo 1
worthless 1
writing 1
young 4
