2304345
/m/072d05
/m/072d05
Vernor Vinge
2004
{"/m/03lrw": "Hard science fiction"}
a 13
ability 1
about 1
access 1
actually 2
all 3
allowing 1
also 1
an 2
and 9
another 3
anything 1
appears 1
are 3
arise 1
as 3
astonishment 1
at 2
author 1
be 2
been 1
begins 1
being 1
boseeinstein 1
building 2
but 1
by 1
called 1
campus 2
cant 1
centuries 1
clue 2
clues 2
company 1
computer 2
condensates 1
convince 1
cookie 2
customer 1
cycle 1
day 1
decides 2
dixie 5
do 1
each 2
ellen 3
ellens 1
email 7
employee 2
endless 1
ends 1
explanation 1
explore 1
fellow 1
fictional 1
file 1
find 4
finds 1
first 1
fit 1
following 2
for 1
from 4
further 1
gerry 1
going 1
grad 1
have 2
header 1
help 1
herself 3
ideas 1
improving 1
in 8
information 1
insulting 1
involved 1
involving 1
is 2
it 3
iteration 3
job 1
kind 1
lab 1
lead 1
leading 1
leads 1
leigh 1
looking 1
lotsatech 3
mae 5
make 1
may 1
meet 1
messages 1
methods 1
mysteries 1
mysterious 1
named 1
next 2
of 9
offensive 1
on 3
one 1
only 1
order 1
out 2
over 2
passed 1
passing 1
person 1
possible 1
preserving 1
producing 1
professor 1
projects 1
rage 1
realizing 1
receives 1
reich 1
researchers 3
reveal 1
sad 1
science 1
search 1
second 1
seems 1
sent 1
several 1
she 3
simulated 2
simulations 2
someday 1
something 1
stop 2
story 2
student 1
support 1
talk 1
that 6
the 27
their 1
them 3
they 9
this 1
three 1
through 1
time 1
to 15
try 1
two 1
underground 1
up 1
utter 1
victor 1
warning 1
was 1
when 1
where 2
while 1
who 4
will 1
with 3
working 1
wrote 1
