10962364
/m/02qwdzv
/m/02qwdzv
Jonathan Raban

32foot 1
56000 1
a 7
absorbing 1
across 1
air 1
alabama 1
america 3
an 1
and 7
anonymous 1
arrived 1
as 1
atlantic 1
bitch 1
black 1
board 1
books 1
cabin 1
caller 1
calls 1
car 1
carve 1
character 1
choosing 1
city 2
cockaigne 1
comes 1
company 1
container 1
conveyor 1
daily 1
decides 1
deep 1
devote 1
distaste 1
divides 1
down 1
elevators 1
emigrants 1
end 1
ends 1
explore 1
face 1
familiarise 1
first 1
florida 1
following 1
footsteps 1
for 4
forays 1
from 2
fully 1
guntersville 1
gypsy 1
have 2
having 1
he 7
heartbreak 1
here 1
him 1
himself 1
hired 1
hires 1
his 5
hunting 1
i 1
immediately 1
immigrants 1
in 11
inhabitants 1
into 2
josephinum 1
journey 1
keep 1
keeps 1
keys 2
korean 1
lab 1
lakeside 1
land 1
leaves 1
level 1
lie 1
life 1
lifestyle 1
liking 1
liverpool 2
loan 1
local 1
makes 2
making 1
meandering 1
meeting 1
middle 1
mist 1
mister 1
mugging 1
new 6
night 1
of 11
off 3
old 1
on 5
one 1
out 1
people 2
poor 1
port 1
poverty 1
proceeds 1
raban 2
rely 1
rented 1
rents 1
residence 1
resident 1
residents 1
rich 1
room 1
scare 1
sea 1
search 1
seattle 1
sets 1
ship 2
sloop 1
some 2
south 1
stopovers 1
street 2
struggled 1
takes 2
temporary 1
the 24
them 1
themselves 1
then 1
threat 1
threatening 1
time 2
to 13
ton 1
took 1
town 1
up 2
way 1
which 1
who 4
whose 1
with 2
world 1
york 2
yorkers 2
