21299797
/m/05f7kb9
/m/05f7kb9
Marc Dugain

{"/m/098tmk": "War novel"}
a 8
adrien 3
aftermath 1
and 6
are 1
at 1
been 1
beyond 1
by 2
centre 1
chambre 1
day 1
des 1
devastated 1
disfigured 1
engineers 1
experiences 1
face 1
fellow 1
first 1
follows 1
fournier 1
french 1
frla 1
front 1
gradually 1
great 1
group 2
handsome 1
has 1
have 1
he 2
his 2
hit 1
horse 1
hospital 1
ii 1
in 5
including 1
injuries 1
involvement 1
is 2
jaw 1
kills 1
lieutenant 1
lives 1
marguerite 1
maxillofacial 1
mission 1
novel 1
nursing 1
of 6
officers 1
officiers 1
on 2
others 1
palate 1
permanently 1
pioneering 1
plastic 1
reconnaissance 1
reconstructed 1
rest 1
right 1
roman 1
shell 1
similar 1
simple 1
small 1
spends 1
stray 1
subsequent 1
surgeons 1
tears 1
the 12
their 1
through 1
to 1
tunnel 1
unit 1
up 1
war 4
western 1
which 1
while 1
who 2
with 1
woman 1
world 1
wounded 2
